,Jun '03,Sep '03,Dec '03,Mar '04,Jun '04,Sep '04,Dec '04,Mar '05,Jun '05,Sep '05,Dec '05,Mar '06,Jun '06,Sep '06,Dec '06,Mar '07,Jun '07,Sep '07,Dec '07,Mar '08,Jun '08,Sep '08,Dec '08,Mar '09,Jun '09,Sep '09,Dec '09,Mar '10,Jun '10,Sep '10,Dec '10,Mar '11,Jun '11,Sep '11,Dec '11,Mar '12,Jun '12,Sep '12,Dec '12,Mar '13,Jun '13,Sep '13,Dec '13,Mar '14,Jun '14,Sep '14,Dec '14,Mar '15,Jun '15,Sep '15,Dec '15,Mar '16,Jun '16,Sep '16,Dec '16,Mar '17,Jun '17,Sep '17,Dec '17,Mar '18,Jun '18,Sep '18,Dec '18,Mar '19,Jun '19,Sep '19,Dec '19,Mar '20,Jun '20,Sep '20,Dec '20,Mar '21,Jun '21,Sep '21,Dec '21,Mar '22,Jun '22,Sep '22,Dec '22,Mar '23,Jun '23,Sep '23,Dec '23,Mar '24,Jun '24
P/L After Tax from Ordinary Activities,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,263.08,-13.54,253.79,398.01,152.57,192.94,300.75,255.44,262.57,237.82,194.88,285.97,260.02,385.59,397.55,493.97,400.15,658.75,699.84,724.72,832.96,1447.21,1290.97,1297.87,1412.54,1983.24,1682.56,1663.47,1564.74,1435.17,1399.29,1649.66,1671.51,1799.29,1690.72,1661.54,1721.14,1762.00,1790.00,1969.00,1841.00,1986.00,2154.00,2014.00,2031.00,1793.00,2232.00,2444.00,2500.00,2360.00,2530.00,3397.00,456.00,2672.00,2562.00,2637.00,3003.00,2678.00,2741.00,3196.00,2844.00,2596.00,2966.00,3349.00,2763.00,2479.00
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,101.00,89.60,80.91,97.48,57.71,90.75,76.54,76.76,85.22,89.39,277.79,134.76,136.45,205.83,266.14,238.59,391.23,264.17,266.95,263.08,-13.54,253.79,398.01,152.57,192.94,300.75,255.44,262.57,237.82,194.88,285.97,331.81,385.59,397.55,493.97,400.15,658.75,699.84,724.72,832.96,1447.21,1290.97,1297.87,1412.54,1983.24,1682.56,1663.47,1564.74,1435.17,1399.29,1649.66,1671.51,1799.29,1690.72,1661.54,1721.14,1762.00,1790.00,1969.00,1841.00,1986.00,2154.00,2014.00,2031.00,1793.00,2232.00,2444.00,2500.00,2360.00,2530.00,3397.00,456.00,2672.00,2562.00,2637.00,3003.00,2678.00,2741.00,3196.00,2844.00,2596.00,2966.00,3349.00,2763.00,2479.00
Equity Share Capital,57.69,59.11,59.12,59.18,59.22,59.30,63.44,63.63,63.84,64.00,64.33,64.56,64.69,64.83,64.95,132.74,132.74,132.76,132.76,133.03,133.27,133.74,133.93,133.95,134.05,134.25,134.70,135.22,135.76,136.00,136.81,137.15,137.74,137.96,138.15,138.47,138.66,138.81,138.91,139.22,139.37,139.56,139.77,139.88,140.00,140.26,140.47,281.14,281.20,281.25,281.86,282.08,282.15,282.18,282.24,285.36,285.36,278.41,278.41,278.45,278.45,279.00,271.25,271.25,271.25,271.00,542.73,543.00,542.73,543.00,542.73,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00,543.00
Reserves Excluding Revaluation Reserves,2256.47,2279.40,2294.50,2328.95,2231.96,2206.44,2902.57,--,2796.14,2885.11,2435.23,2466.94,2511.18,2600.26,2765.11,3024.85,3292.28,3651.72,3815.49,3778.84,3079.85,2895.98,3077.95,2914.42,3353.72,3645.72,4104.68,4502.74,4798.09,4949.04,5195.10,5432.64,5720.41,5747.44,5854.87,6342.06,6465.15,7326.83,7850.69,8677.47,10093.36,10935.27,12158.35,13513.59,15605.61,15866.07,16866.69,17696.73,19124.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.51,2.87,4.19,4.84,5.61,5.77,7.16,5.78,9.51,10.09,10.44,11.99,20.78,18.52,18.58,20.20,28.34,24.02,23.71,11.13,10.21,9.95,11.72,11.86,12.76,11.98,11.78,12.06,12.35,12.84,14.14,13.22,14.26,15.47,14.81,14.97,13.22,16.46,9.01,9.20,8.70,9.32,12.52,1.68,9.85,9.44,9.72,11.09,9.89,10.12,11.80,10.50,9.59,10.95,12.37,10.20,9.14
Diluted EPS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.43,2.81,4.10,4.74,5.50,5.66,7.03,5.68,9.33,9.90,10.24,11.75,20.47,18.22,18.34,19.96,28.02,23.80,23.57,11.08,10.15,9.90,11.68,11.83,12.74,11.97,11.76,12.05,12.28,12.83,14.13,13.21,14.26,15.43,14.80,14.97,13.21,16.45,9.01,9.20,8.70,9.32,12.52,1.68,9.85,9.44,9.72,11.09,9.89,10.12,11.79,10.49,9.57,10.93,12.34,10.18,9.14
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.51,2.87,4.19,4.84,5.61,5.77,7.16,5.78,9.51,10.09,10.44,11.99,20.78,18.52,18.58,20.20,28.34,24.02,23.71,11.13,10.21,9.95,11.72,11.86,12.76,11.98,11.78,12.06,12.35,12.84,14.14,13.22,14.26,15.47,14.81,14.97,13.22,16.46,9.01,9.20,8.70,9.32,12.52,1.68,9.84,9.44,9.72,11.09,9.89,10.12,11.80,10.50,9.59,10.95,12.37,10.20,9.14
Diluted EPS.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.43,2.81,4.10,4.74,5.50,5.66,7.03,5.68,9.33,9.90,10.24,11.75,20.47,18.22,18.34,19.96,28.02,23.80,23.57,11.08,10.15,9.90,11.68,11.83,12.74,11.97,11.76,12.05,12.28,12.83,14.13,13.21,14.26,15.43,14.80,14.97,13.21,16.45,9.01,9.20,8.70,9.32,12.52,1.68,9.85,9.44,9.72,11.09,9.89,10.12,11.79,10.49,9.57,10.93,12.34,10.18,9.14
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),6.62,6.97,6.98,7.06,7.10,7.16,9.24,9.33,9.44,9.58,9.75,9.86,9.93,10.00,10.06,21.54,21.54,21.55,21.55,21.69,21.63,21.86,21.72,21.30,21.34,21.11,21.34,21.60,23.54,23.67,24.07,24.24,24.53,24.65,24.74,25.08,26.18,26.25,26.30,26.46,26.54,26.63,26.73,26.79,26.85,26.98,27.09,55.40,55.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),22.96,23.58,23.60,23.85,23.96,24.14,29.12,29.33,29.56,29.95,30.31,30.56,30.70,30.85,30.98,32.45,32.45,32.46,32.47,32.60,32.46,32.70,32.43,31.80,31.85,31.46,31.68,31.95,34.68,34.80,35.19,35.35,35.63,35.73,35.82,36.23,37.76,37.82,37.87,38.01,38.08,38.16,38.25,38.31,38.36,38.47,38.57,39.41,39.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44.34,44.33,44.33,44.33,44.33,44.33,44.33,44.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,43.15,85.17,85.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65.32,65.20,64.81,64.65,64.37,64.27,64.18,63.77,62.24,62.18,62.13,61.99,61.92,61.84,61.75,61.69,61.64,61.53,61.43,60.59,60.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
