,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Earnings Retention Ratio (%),83.30,76.58,70.00,70.00,65.14,70.13,69.07,69.96,69.99,69.94,69.99,78.99,79.95,93.05,84.45,54.58,71.16,42.85,49.00,54.51
Cash Earnings Retention Ratio (%),90.87,87.20,82.83,82.15,79.08,81.88,84.31,83.46,83.24,83.22,84.11,89.61,90.11,96.56,92.61,77.59,85.76,71.16,70.59,75.33
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,0.00,61623.48,66294.10,76236.87,82116.43,98387.10,112466.29,130030.55,164475.55,172557.45,212289.53,222664.26,234645.27,216208.89,238425.77,282956.86,279296.37
EV/Net Operating Revenue (X),0.00,0.00,0.00,0.00,13.35,10.08,10.70,9.79,9.68,8.82,8.54,9.58,8.30,8.26,7.48,6.88,5.98,6.33,7.09,6.44
EV/EBITDA (X),0.00,0.00,0.00,0.00,13.19,10.11,12.64,10.73,10.77,9.77,9.67,10.68,9.20,9.05,8.26,7.62,6.45,6.64,7.58,7.00
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,0.00,8.93,6.12,6.33,5.62,4.91,3.84,3.61,4.42,3.50,4.01,3.41,3.04,2.30,3.00,3.79,3.63
Retention Ratios (%),83.29,76.57,69.99,69.99,65.13,70.12,69.06,69.95,69.98,69.93,69.98,78.98,79.94,93.04,84.44,54.57,71.15,42.84,48.99,54.50
Price/BV (X),0.00,0.00,0.00,0.00,3.00,2.97,2.86,2.21,2.13,1.87,1.59,1.99,1.70,2.07,1.86,1.76,1.29,1.62,1.99,1.90
Price/Net Operating Revenue,0.00,0.00,0.00,0.00,8.93,6.12,6.33,5.62,4.91,3.84,3.61,4.42,3.50,4.01,3.41,3.04,2.30,3.00,3.79,3.63
Earnings Yield,0.00,0.00,0.00,0.00,0.04,0.04,0.05,0.06,0.07,0.09,0.08,0.07,0.08,0.07,0.08,0.10,0.13,0.11,0.11,0.10
