,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Return on Networth / Equity (%),15.09,19.49,21.80,22.78,20.56,13.04,21.10,16.50,10.76,12.87,13.26,15.65,17.95,20.17,18.49,16.25,11.66,8.23,6.96,13.33
Return on Capital Employed (%),12.90,17.37,20.78,20.17,18.84,11.93,20.01,15.88,10.37,11.95,12.39,15.00,17.35,26.42,25.83,21.60,14.04,9.74,8.35,16.40
Return on Assets (%),9.43,13.07,15.42,15.21,13.95,8.91,15.18,12.42,7.33,8.94,9.11,11.06,12.79,14.34,13.00,11.91,9.03,6.03,5.13,9.67
Total Debt/Equity (X),0.09,0.07,0.01,0.09,0.11,0.07,0.07,0.01,0.07,0.07,0.08,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.02
Asset Turnover Ratio (%),164.51,169.16,158.22,144.25,145.65,151.58,178.27,198.74,159.56,163.04,143.11,148.93,137.19,132.74,134.34,136.68,120.87,100.37,1.23,1.50
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.31,1.84,1.89,1.52,0.96,1.59,0.95,2.39,1.69,1.63,1.76,0.93,0.71,0.66,0.51,0.87,0.75,1.15,0.99,0.58
Quick Ratio (X),1.02,1.43,1.44,1.24,0.64,1.32,0.65,2.04,1.42,1.35,1.54,0.63,0.43,0.42,0.31,0.64,0.46,0.96,0.78,0.36
Inventory Turnover Ratio (X),21.49,16.57,13.84,20.76,17.41,22.97,24.25,25.88,19.81,23.68,25.62,19.11,18.37,20.86,25.23,25.87,23.52,23.06,12.07,11.94
Dividend Payout Ratio (NP) (%),7.98,6.77,8.50,8.32,8.34,8.29,6.93,9.46,13.25,10.10,13.02,20.34,14.07,14.38,29.34,32.21,42.76,42.85,36.09,22.51
Dividend Payout Ratio (CP) (%),3.90,4.35,6.85,7.09,6.28,5.25,5.21,6.56,7.81,5.68,7.44,12.21,9.22,10.62,21.61,22.97,26.33,24.96,20.74,16.67
Earnings Retention Ratio (%),92.02,93.23,91.50,91.68,91.66,91.71,93.07,90.54,86.75,89.90,86.98,79.66,85.93,85.62,70.66,67.79,57.24,57.15,63.91,77.49
Cash Earnings Retention Ratio (%),96.10,95.65,93.15,92.91,93.72,94.75,94.79,93.44,92.19,94.32,92.56,87.79,90.78,89.38,78.39,77.03,73.67,75.04,79.26,83.33
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),14433.56,11439.32,23938.82,22897.33,24550.20,21160.29,41649.94,34178.30,37631.19,39261.14,60591.68,111879.25,112352.02,182403.66,267706.83,201456.04,129575.25,204616.85,225654.68,251616.13
EV/Net Operating Revenue (X),1.53,1.04,1.96,1.55,1.36,1.02,1.42,0.93,1.06,0.90,1.39,2.24,1.95,2.68,3.36,2.34,1.71,2.91,2.56,2.14
EV/EBITDA (X),11.78,6.57,11.68,9.00,8.06,8.83,9.47,8.24,11.27,7.79,10.24,14.83,10.86,14.42,18.98,14.86,12.08,24.68,30.11,19.11
MarketCap/Net Operating Revenue (X),1.52,1.10,2.07,1.60,1.33,1.08,1.40,1.00,1.10,0.89,1.36,2.24,1.95,2.67,3.36,2.34,1.71,2.95,2.59,2.13
Retention Ratios (%),92.01,93.22,91.49,91.67,91.65,91.70,93.06,90.53,86.74,89.89,86.97,79.65,85.92,85.61,70.65,67.78,57.23,57.14,63.90,77.48
Price/BV (X),4.00,2.78,4.63,3.46,2.85,2.40,3.46,2.63,2.57,2.08,2.84,4.71,3.76,4.99,6.41,4.37,2.67,4.03,4.22,4.15
Price/Net Operating Revenue,1.52,1.10,2.07,1.60,1.33,1.08,1.40,1.00,1.10,0.89,1.36,2.24,1.95,2.67,3.36,2.34,1.71,2.95,2.59,2.13
Earnings Yield,0.04,0.07,0.05,0.07,0.07,0.05,0.06,0.06,0.04,0.06,0.05,0.03,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.03
