,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit Margin (%),12.47,10.91,11.14,8.66,9.35,10.39,14.09,9.93,10.08,8.91,8.34,8.64,10.95,11.84,11.47,10.05,12.59,9.62,8.45,8.60
Return on Networth / Equity (%),63.95,54.27,48.34,34.73,32.41,33.72,64.41,65.21,55.43,42.31,37.66,36.47,39.42,33.39,31.41,26.32,25.70,19.50,15.66,17.42
Return on Capital Employed (%),51.89,45.10,41.95,31.02,29.79,31.78,60.45,40.93,42.86,38.71,37.16,35.93,37.77,44.00,42.35,37.15,26.52,24.43,19.68,22.07
Return on Assets (%),27.34,24.58,25.04,20.21,19.07,21.06,26.18,17.97,24.04,21.96,20.88,22.67,25.38,22.98,22.08,19.18,19.37,13.37,11.38,12.51
Total Debt/Equity (X),0.15,0.14,0.09,0.07,0.04,0.02,0.02,0.50,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),219.18,225.29,224.83,233.41,203.90,202.54,185.84,180.84,238.43,246.51,250.31,262.17,231.74,193.95,192.54,190.74,153.79,138.98,1.33,1.50
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.40,0.37,0.53,0.62,0.51,0.49,0.60,0.96,1.11,1.22,1.26,1.36,1.47,1.82,2.04,1.96,2.08,1.79,1.99,1.61
Quick Ratio (X),0.25,0.23,0.38,0.43,0.34,0.33,0.51,0.87,0.96,1.06,1.10,1.15,1.30,1.66,1.85,1.71,1.81,1.55,1.77,1.35
Inventory Turnover Ratio (X),31.02,36.37,38.49,35.95,32.62,37.71,36.30,36.95,34.90,37.33,37.75,33.83,42.50,43.43,39.13,31.38,26.41,20.96,15.98,18.79
Dividend Payout Ratio (NP) (%),54.83,49.27,41.11,39.57,39.20,31.15,98.41,108.75,37.78,56.56,61.59,50.22,45.89,51.44,45.91,56.05,53.32,64.02,76.75,68.65
Dividend Payout Ratio (CP) (%),49.77,44.38,36.77,34.02,33.62,27.30,90.64,89.97,25.85,36.75,40.39,40.95,40.23,44.89,39.91,47.58,43.52,52.12,60.78,56.01
Earnings Retention Ratio (%),45.17,50.73,58.89,60.43,60.80,68.85,1.59,-8.75,62.22,43.44,38.41,49.78,54.11,48.56,54.09,43.95,46.68,35.98,23.25,31.35
Cash Earnings Retention Ratio (%),50.23,55.62,63.23,65.98,66.38,72.70,9.36,10.03,74.15,63.25,59.61,59.05,59.77,55.11,60.09,52.42,56.48,47.88,39.22,43.99
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),9931.87,11130.72,17766.41,13811.84,13784.20,21229.82,36951.54,33082.92,41969.92,30912.86,45271.31,52613.47,58648.34,64243.55,70662.30,50904.66,31602.29,57987.55,45714.94,46562.29
EV/Net Operating Revenue (X),1.70,1.50,2.04,1.39,1.33,1.72,2.33,1.71,1.78,1.30,1.79,1.91,2.05,2.25,2.19,1.51,1.10,1.88,1.56,1.38
EV/EBITDA (X),8.66,8.51,11.61,9.95,8.77,10.81,12.21,11.40,10.54,8.39,11.36,13.04,12.12,12.46,12.17,9.06,6.67,12.61,11.65,10.23
MarketCap/Net Operating Revenue (X),1.68,1.47,2.03,1.38,1.33,1.73,2.45,1.63,1.74,1.30,1.80,1.91,2.06,2.26,2.20,1.52,1.10,1.89,1.57,1.39
Retention Ratios (%),45.16,50.72,58.88,60.42,60.79,68.84,1.58,-8.75,62.21,43.43,38.40,49.77,54.10,48.55,54.08,43.94,46.67,35.97,23.24,31.34
Price/BV (X),8.60,7.33,8.83,5.54,4.62,5.62,11.20,10.72,9.57,6.15,8.11,8.07,7.40,6.37,6.02,3.97,2.25,3.83,2.91,2.81
Price/Net Operating Revenue,1.68,1.47,2.03,1.38,1.33,1.73,2.45,1.63,1.74,1.30,1.80,1.91,2.06,2.26,2.20,1.52,1.10,1.89,1.57,1.39
Earnings Yield,0.07,0.07,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.07,0.11,0.05,0.05,0.06
