,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Cash Earnings Retention Ratio (%),69.29,71.66,68.92,59.42,68.49,66.58,58.66,59.41,57.74,53.05,31.71,96.51,63.69,64.87,2.58,0.00,23.40,31.46
Valuation Ratios,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,10380.86,30333.76,42305.17,46997.04,51451.43,59702.03,57901.68,68765.80,81066.85,78887.69,83429.99,58286.26,105720.62,105104.05,109611.67
EV/Net Operating Revenue (X),0.00,0.00,0.00,1.19,2.57,2.58,2.41,2.57,2.96,2.68,3.04,3.72,3.13,2.76,1.95,3.81,3.17,3.01
EV/EBITDA (X),0.00,0.00,0.00,9.35,12.11,11.29,10.86,11.61,12.41,12.32,11.74,14.36,12.87,12.58,8.53,17.04,16.25,14.18
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,1.03,2.46,2.58,2.49,2.60,2.98,2.70,3.08,3.73,3.16,2.79,1.96,3.83,3.19,3.02
Retention Ratios (%),63.96,67.28,61.71,51.36,65.95,65.34,56.65,57.21,55.39,48.57,26.36,96.22,60.87,62.86,-2.12,0.00,19.28,28.01
Price/BV (X),0.00,0.00,0.00,4.79,9.94,8.60,8.04,6.57,6.26,5.46,5.25,4.77,4.16,3.87,2.94,4.22,3.96,4.32
Price/Net Operating Revenue,0.00,0.00,0.00,1.03,2.46,2.58,2.49,2.60,2.98,2.70,3.08,3.73,3.16,2.79,1.96,3.83,3.19,3.02
Earnings Yield,0.00,0.00,0.00,0.07,0.06,0.08,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.09,0.04,0.05,0.05
