,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
PBDIT Margin (%),35.57,28.44,26.49,36.27,24.05,31.46,30.01,24.76,31.55,39.69,48.31,46.98,45.43,45.59,45.48,43.14,40.99,43.16,39.35,37.32,37.30
PBIT Margin (%),30.52,23.77,21.91,31.54,19.33,26.08,24.62,20.47,27.59,36.16,45.33,45.23,43.37,43.12,41.44,38.24,35.00,35.28,32.91,32.07,32.38
PBT Margin (%),30.10,23.42,21.55,31.24,18.96,25.53,22.69,18.98,26.50,36.30,44.84,44.88,43.03,42.84,41.34,38.17,34.27,34.78,32.64,31.80,32.12
Net Profit Margin (%),28.87,22.75,21.04,29.23,16.91,21.33,20.79,17.63,21.89,29.59,36.27,36.99,35.12,35.57,33.35,31.46,27.50,24.50,26.75,24.76,24.26
Return on Networth / Equity (%),14.21,11.51,24.78,32.16,24.29,28.59,21.40,20.45,29.53,36.20,38.00,32.70,21.95,26.46,26.70,26.88,24.04,20.07,25.53,27.87,29.57
Return on Capital Employed (%),13.63,11.13,24.64,31.79,24.09,28.36,17.69,17.36,25.51,32.57,36.33,31.86,21.37,31.49,32.52,32.00,28.84,27.76,30.14,34.76,37.23
Return on Assets (%),10.96,9.03,17.13,22.48,13.47,15.11,12.43,13.21,17.93,23.21,27.43,25.47,17.74,21.23,22.43,21.85,16.75,15.79,20.35,21.47,22.31
Total Debt/Equity (X),0.04,0.03,0.01,0.01,0.01,0.15,0.28,0.14,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Asset Turnover Ratio (%),37.97,39.71,81.40,76.91,79.67,70.86,59.81,74.95,81.89,78.43,75.62,68.84,50.52,59.67,67.25,69.44,60.92,64.43,0.75,0.87,0.91
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.67,0.80,0.98,1.39,1.06,1.47,1.87,1.91,1.45,1.88,2.62,3.23,3.91,3.06,3.29,2.93,1.69,2.77,2.97,2.68,2.82
Quick Ratio (X),0.67,0.80,0.98,1.39,1.06,1.44,1.87,1.85,1.42,1.86,2.62,3.22,3.88,3.05,3.28,2.93,1.69,2.76,2.97,2.68,2.82
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,53.73,421.82,54.37,89.08,152.95,1061.61,205.06,104.50,214.64,551.83,1445.11,2329.00,1981.83,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),90.82,152.38,80.84,47.70,76.67,47.08,25.58,42.93,42.58,22.54,11.70,37.59,57.16,49.26,22.98,13.42,15.12,37.25,104.75,113.40,120.60
Dividend Payout Ratio (CP) (%),76.82,126.43,66.40,41.06,59.94,37.59,20.31,34.53,36.05,20.14,10.81,35.89,53.99,46.06,20.49,11.61,12.42,28.18,84.44,93.55,100.24
Earnings Retention Ratio (%),9.18,-52.38,19.16,52.30,23.33,52.92,74.42,57.07,57.42,77.46,88.30,62.41,42.84,50.74,77.02,86.58,84.88,62.75,-4.75,-13.40,-20.60
Cash Earnings Retention Ratio (%),23.18,-26.43,33.60,58.94,40.06,62.41,79.69,65.47,63.95,79.86,89.19,64.11,46.01,53.94,79.51,88.39,87.58,71.82,15.56,6.45,-0.24
Valuation Ratios,,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),8855.15,12425.85,16147.58,22491.23,16043.84,11594.44,25177.37,33877.60,32672.62,51888.84,96904.12,120697.44,106192.95,116478.63,132468.50,141183.00,117446.63,262157.68,311226.53,288863.30,411429.95
EV/Net Operating Revenue (X),7.85,8.59,5.32,5.97,3.48,2.48,4.96,4.99,3.67,4.15,5.87,7.04,7.90,6.03,6.00,5.43,3.60,7.35,7.66,6.24,8.55
EV/EBITDA (X),22.07,30.19,20.10,16.45,14.45,7.88,16.51,20.13,11.62,10.44,12.16,14.98,17.40,13.22,13.19,12.58,8.79,17.02,19.46,16.72,22.92
MarketCap/Net Operating Revenue (X),7.83,8.58,5.35,6.06,3.62,2.66,4.88,5.00,3.71,4.32,6.35,7.55,8.55,6.44,6.11,5.67,3.64,7.48,7.77,6.37,8.71
Retention Ratios (%),9.17,-52.38,19.15,52.29,23.32,52.91,74.41,57.06,57.41,77.45,88.29,62.40,42.83,50.73,77.01,86.57,84.87,62.74,-4.75,-13.40,-20.60
Price/BV (X),3.85,4.34,6.30,6.67,5.20,3.57,5.02,5.80,5.00,5.29,6.65,6.67,5.34,4.79,4.89,4.84,3.18,6.13,7.42,7.17,10.62
Price/Net Operating Revenue,7.83,8.58,5.35,6.06,3.62,2.66,4.88,5.00,3.71,4.32,6.35,7.55,8.55,6.44,6.11,5.67,3.64,7.48,7.77,6.37,8.71
Earnings Yield,0.04,0.03,0.04,0.05,0.05,0.08,0.04,0.04,0.06,0.07,0.06,0.05,0.04,0.06,0.05,0.06,0.08,0.03,0.03,0.04,0.03
