,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
PBT Margin (%),1.56,2.95,5.91,6.16,6.28,5.93,6.87,9.18,9.48,9.95,9.30,8.87,7.72,8.01,10.05,10.10,10.51,5.98,10.77,11.66
Net Profit Margin (%),1.24,2.27,5.01,4.40,4.92,4.09,5.35,6.60,6.79,7.17,6.78,6.91,6.26,5.90,7.44,7.20,7.58,4.25,8.01,8.70
Return on Networth / Equity (%),8.93,18.17,38.22,28.74,34.45,28.83,34.55,41.97,41.39,36.90,29.36,26.61,20.08,17.66,22.38,22.23,22.23,11.61,23.25,27.78
Return on Capital Employed (%),3.01,6.40,19.95,20.57,25.79,22.85,30.53,39.83,39.36,35.76,28.55,25.88,19.49,26.39,32.27,32.40,28.37,17.89,30.04,34.67
Return on Assets (%),1.44,3.12,8.26,7.25,9.32,8.86,11.89,11.52,12.77,12.34,12.13,14.01,11.06,9.15,12.37,11.98,11.50,5.52,10.82,13.28
Total Debt/Equity (X),3.25,2.32,1.39,0.75,0.59,0.32,0.10,0.01,0.00,0.00,0.32,0.03,0.03,0.43,0.31,0.37,0.31,0.54,0.02,0.52
Asset Turnover Ratio (%),115.95,137.52,164.82,164.56,189.41,216.36,222.14,174.56,188.06,172.13,178.74,202.70,176.65,155.05,166.24,166.26,151.72,129.89,1.51,1.69
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.32,1.39,1.24,1.17,1.23,1.35,1.40,1.24,1.31,1.34,1.49,1.80,1.86,1.72,1.78,1.76,1.82,1.74,1.71,1.80
Quick Ratio (X),0.91,0.72,0.52,0.36,0.24,0.25,0.36,0.49,0.40,0.39,0.39,0.29,0.25,0.48,0.37,0.46,0.34,0.63,0.38,0.50
Inventory Turnover Ratio (X),5.47,4.04,3.92,3.15,2.99,3.23,3.49,3.27,3.07,2.75,2.82,2.94,2.54,2.68,2.72,2.84,2.59,2.58,2.02,1.81
Dividend Payout Ratio (NP) (%),37.81,33.89,18.08,23.57,23.63,27.92,26.59,25.78,25.88,25.70,25.15,24.80,27.67,0.00,19.84,24.22,29.24,40.47,16.28,19.98
Dividend Payout Ratio (CP) (%),11.54,17.81,14.27,18.53,19.72,22.11,21.45,23.87,24.08,23.91,23.10,22.42,24.32,0.00,18.13,22.00,24.29,29.38,14.04,18.01
Earnings Retention Ratio (%),62.19,66.11,81.92,76.43,76.37,72.08,73.41,74.22,74.12,74.30,74.85,75.20,72.33,0.00,80.16,75.78,70.76,59.53,83.72,80.02
Cash Earnings Retention Ratio (%),88.46,82.19,85.73,81.47,80.28,77.89,78.55,76.13,75.92,76.09,76.90,77.58,75.68,0.00,81.87,78.00,75.71,70.62,85.96,81.99
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),872.22,1293.56,3799.50,3931.64,4921.46,3582.64,8057.70,15829.05,19340.15,21635.17,23217.29,34691.35,30080.05,42048.56,84551.32,102273.88,84653.30,142190.60,224893.35,229331.90
EV/Net Operating Revenue (X),0.97,1.18,2.59,1.84,1.61,0.92,1.72,2.43,2.19,2.14,2.13,2.91,2.67,3.26,5.41,5.36,4.23,6.90,8.27,5.99
EV/EBITDA (X),10.83,14.49,27.91,21.58,20.37,11.87,19.81,23.70,20.86,19.47,19.87,28.34,29.79,33.37,46.46,46.90,33.01,75.55,63.80,45.24
MarketCap/Net Operating Revenue (X),0.50,0.89,2.40,1.75,1.55,0.89,1.75,2.59,2.30,2.25,2.13,2.92,2.67,3.18,5.35,5.30,4.14,6.73,8.30,5.85
Retention Ratios (%),62.18,66.10,81.91,76.42,76.36,72.07,73.40,74.21,74.11,74.29,74.84,75.19,72.32,0.00,80.15,75.77,70.75,59.52,83.71,80.01
Price/BV (X),3.62,7.14,18.33,11.41,10.81,6.28,11.28,16.50,14.00,11.59,9.23,11.26,8.56,9.50,16.09,16.34,12.14,18.35,24.08,18.66
Price/Net Operating Revenue,0.50,0.89,2.40,1.75,1.55,0.89,1.75,2.59,2.30,2.25,2.13,2.92,2.67,3.18,5.35,5.30,4.14,6.73,8.30,5.85
Earnings Yield,0.02,0.03,0.02,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01
