,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Return on Networth / Equity (%),9.60,12.55,16.40,20.14,17.55,8.87,19.04,8.87,13.83,11.15,17.39,11.66,19.61,7.29,12.68,9.29,4.83,5.53,7.54,7.46
Return on Capital Employed (%),7.50,10.23,13.72,17.50,14.10,7.31,16.14,7.23,11.36,10.78,14.60,9.59,18.33,7.06,12.35,12.92,7.16,7.69,9.51,9.71
Return on Assets (%),6.38,8.37,10.97,11.25,10.07,5.19,12.68,5.81,9.56,7.51,12.09,7.90,13.86,6.25,10.92,8.21,4.34,4.61,6.22,6.09
Total Debt/Equity (X),0.21,0.19,0.21,0.52,0.43,0.42,0.24,0.25,0.17,0.08,0.18,0.19,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),53.78,57.62,56.98,38.77,36.54,44.80,55.04,58.32,64.29,67.61,72.62,78.90,75.86,69.38,65.76,68.53,47.22,53.26,0.57,0.57
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.28,1.16,0.90,0.40,0.88,0.95,0.98,1.25,1.54,0.96,1.51,1.61,1.37,2.03,3.69,4.96,3.77,2.75,2.56,2.43
Quick Ratio (X),0.77,0.57,0.49,0.21,0.65,0.62,0.40,0.54,0.64,0.33,0.51,0.33,0.48,0.53,2.38,3.06,2.61,1.75,1.73,1.67
Inventory Turnover Ratio (X),7.05,5.36,6.96,5.87,5.79,4.68,4.49,4.21,4.49,3.57,4.22,3.52,3.47,4.01,4.32,4.05,6.19,5.08,2.38,2.31
Dividend Payout Ratio (NP) (%),52.20,43.60,36.08,30.25,69.18,68.58,31.59,68.48,43.92,51.40,31.12,49.13,25.19,60.98,29.52,38.39,30.13,40.16,42.13,58.68
Dividend Payout Ratio (CP) (%),42.07,37.25,32.69,28.53,67.00,64.25,30.62,64.10,42.24,48.33,30.03,45.96,24.21,56.15,28.09,35.64,24.71,33.36,36.32,50.87
Earnings Retention Ratio (%),47.80,56.40,63.92,69.75,30.82,31.42,68.41,31.52,56.08,48.60,68.88,50.87,74.81,39.02,70.48,61.61,69.87,59.84,57.87,41.32
Cash Earnings Retention Ratio (%),57.93,62.75,67.31,71.47,33.00,35.75,69.38,35.90,57.76,51.67,69.97,54.04,75.79,43.85,71.91,64.36,75.29,66.64,63.68,49.13
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),2050.31,3093.49,5114.34,4363.60,5841.24,4331.01,6552.14,6543.45,7278.54,8048.56,9721.52,9676.81,7449.72,9493.76,15859.76,12352.38,26466.00,57230.47,70302.75,64755.37
EV/Net Operating Revenue (X),2.66,3.49,5.27,4.13,5.15,3.18,3.86,3.61,3.58,3.46,3.62,3.35,2.42,3.10,4.93,3.60,4.65,8.00,8.86,7.58
EV/EBITDA (X),13.25,15.70,22.08,16.35,19.95,13.89,20.45,25.18,22.34,22.90,20.74,20.50,16.60,20.68,24.44,19.90,28.71,54.42,52.08,43.70
MarketCap/Net Operating Revenue (X),2.41,3.32,5.03,3.40,4.49,2.66,3.57,3.34,3.40,3.40,3.46,3.20,2.48,3.09,5.07,3.74,4.77,8.22,9.03,7.73
Retention Ratios (%),47.79,56.39,63.91,69.74,30.81,31.41,68.40,31.51,56.07,48.59,68.87,50.86,74.80,39.01,70.47,61.60,69.86,59.83,57.86,41.31
Price/BV (X),1.95,2.87,4.28,2.36,2.86,2.04,2.95,2.97,3.17,3.41,3.61,3.72,2.66,2.51,3.87,2.90,2.51,5.25,6.10,5.18
Price/Net Operating Revenue,2.41,3.32,5.03,3.40,4.49,2.66,3.57,3.34,3.40,3.40,3.46,3.20,2.48,3.09,5.07,3.74,4.77,8.22,9.03,7.73
Earnings Yield,0.05,0.04,0.04,0.09,0.06,0.04,0.06,0.03,0.04,0.03,0.05,0.03,0.07,0.03,0.03,0.03,0.02,0.01,0.01,0.01
