,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
PBDIT Margin (%),0.00,30.45,29.70,30.23,29.49,24.83,29.72,31.62,36.21,34.14,38.11,34.65,35.88,34.15,34.52,34.57,34.60,33.61,33.51,29.58,31.19
PBIT Margin (%),0.00,28.80,27.41,27.93,27.01,22.97,27.68,29.78,34.43,32.49,36.44,32.75,34.18,32.45,32.82,33.18,32.54,31.37,31.31,27.51,29.27
PBT Margin (%),0.00,28.67,27.37,27.91,26.99,22.94,27.64,29.71,34.39,32.42,36.40,33.36,34.16,32.43,32.79,33.04,31.97,30.08,31.01,27.15,28.46
Net Profit Margin (%),0.00,22.74,24.19,25.14,24.32,20.96,24.38,25.85,28.24,26.40,28.56,26.17,26.87,25.51,25.92,24.40,25.33,22.77,23.81,20.54,21.52
Return on Networth / Equity (%),32.24,55.14,48.43,46.62,41.34,35.18,37.41,38.86,44.33,39.38,41.93,42.40,35.49,30.31,33.27,38.10,44.72,41.39,49.48,52.46,60.39
Return on Capital Employed (%),31.58,53.86,47.78,46.22,40.49,34.56,36.98,38.05,43.17,38.35,40.74,41.32,34.90,38.05,41.50,50.71,52.79,52.75,60.23,65.07,75.85
Return on Assets (%),2.31,38.53,36.59,34.90,30.59,25.32,25.04,29.06,32.03,29.72,32.07,30.53,29.80,26.35,27.72,30.21,31.68,28.30,31.49,32.63,35.95
Total Debt/Equity (X),7.97,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),0.00,169.39,151.26,138.77,125.77,120.82,102.73,112.41,113.42,112.58,112.27,116.66,110.91,103.26,106.91,123.78,125.08,1.27,1.39,1.58,1.68
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.02,1.71,2.29,1.99,2.04,1.87,1.49,1.72,1.87,2.43,2.84,2.46,4.72,6.40,4.85,4.18,3.30,2.92,2.49,2.36,2.20
Quick Ratio (X),0.02,1.71,2.28,1.99,2.03,1.86,1.49,1.72,1.87,2.43,2.84,2.45,4.72,6.39,4.85,4.18,3.30,2.92,2.48,2.36,2.20
Inventory Turnover Ratio (X),0.00,0.00,489.56,1238.80,1078.17,1321.65,3398.89,5451.66,9386.12,7638.19,7546.43,5962.57,9540.44,4413.95,3894.24,12317.00,26261.20,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),28.85,30.14,24.31,29.95,30.38,29.17,69.67,36.19,44.57,33.67,33.92,80.35,34.63,38.73,36.78,33.54,95.89,35.04,34.87,105.73,57.70
Dividend Payout Ratio (CP) (%),27.34,28.10,22.20,27.44,27.58,26.79,64.29,33.79,41.94,31.68,32.04,74.93,32.57,36.31,34.52,31.73,88.69,31.89,31.92,96.05,52.98
Earnings Retention Ratio (%),71.15,69.86,75.69,70.05,69.62,70.83,30.33,63.81,55.43,66.33,66.08,19.65,65.37,61.27,63.22,66.46,4.11,64.96,65.13,-5.73,42.30
Cash Earnings Retention Ratio (%),72.66,71.90,77.80,72.56,72.42,73.21,35.71,66.21,58.06,68.32,67.96,25.07,67.43,63.69,65.48,68.27,11.31,68.11,68.08,3.95,47.02
Valuation Ratios,,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,68786.33,93523.69,119978.83,78945.40,51379.51,149557.76,228454.71,225487.76,303841.66,404383.76,482638.45,491018.85,477854.70,540949.30,741250.00,678819.75,1172570.00,1354708.80,1168779.80,1399246.10
EV/Net Operating Revenue (X),0.00,8.54,8.33,8.03,4.26,2.29,6.49,7.80,5.80,6.27,6.25,6.56,5.72,5.16,5.56,6.02,5.17,8.62,8.45,6.14,6.91
EV/EBITDA (X),0.00,28.05,28.03,26.56,14.44,9.23,21.84,24.68,16.03,18.37,16.41,18.93,15.94,15.09,16.10,17.40,14.94,25.65,25.21,20.75,22.17
MarketCap/Net Operating Revenue (X),0.00,8.54,8.34,8.06,4.28,2.36,6.63,7.91,5.88,6.35,6.45,6.78,5.77,5.17,5.59,6.09,5.21,8.65,8.53,6.16,6.95
Retention Ratios (%),71.14,69.85,75.68,70.04,69.61,70.82,30.32,63.80,55.42,66.32,66.07,19.64,65.36,61.26,63.21,66.45,4.10,64.95,65.12,-5.73,42.29
Price/BV (X),0.00,20.71,16.70,14.95,7.28,3.96,10.18,11.88,9.23,9.48,9.46,10.98,7.62,6.14,7.17,9.51,9.19,15.72,17.73,15.74,19.49
Price/Net Operating Revenue,0.00,8.54,8.34,8.06,4.28,2.36,6.63,7.91,5.88,6.35,6.45,6.78,5.77,5.17,5.59,6.09,5.21,8.65,8.53,6.16,6.95
Earnings Yield,0.00,0.03,0.03,0.03,0.06,0.09,0.04,0.03,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.03,0.03,0.03
