,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit/Share (Rs.),3.12,0.23,18.47,62.84,80.94,78.48,87.82,51.24,89.25,96.85,78.20,73.42,86.37,95.72,81.25,87.84,189.02,185.07,244.80,170.32
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),15.78,10.98,17.54,30.13,33.01,28.24,29.66,21.19,24.67,24.68,20.44,19.91,21.54,23.56,21.74,18.94,23.07,27.21,22.79,17.31
PBIT Margin (%),6.99,2.71,10.99,25.52,28.71,23.18,24.15,15.44,19.74,19.99,15.25,14.97,16.07,18.25,15.82,13.13,17.03,21.57,17.94,13.04
PBT Margin (%),1.91,-1.27,8.27,23.75,27.33,21.32,22.55,13.39,18.52,18.95,13.68,12.58,13.91,15.80,11.08,8.73,12.84,18.28,16.36,11.81
Net Profit Margin (%),1.71,0.10,6.96,15.93,18.27,15.30,15.52,10.54,13.35,13.15,10.57,8.78,9.99,10.99,7.49,6.03,13.42,12.36,13.94,8.01
Return on Networth / Equity (%),3.61,0.26,22.13,44.35,37.37,27.13,23.73,13.16,19.02,17.43,12.54,10.68,10.95,10.97,8.60,8.64,14.24,12.32,14.34,9.28
Return on Capital Employed (%),1.22,0.09,7.50,20.09,21.52,15.80,15.56,9.47,13.31,12.54,8.92,7.62,8.78,13.96,10.88,9.60,12.03,15.32,14.78,12.37
Return on Assets (%),1.03,0.07,6.32,16.75,16.06,12.64,13.06,7.02,10.66,9.68,7.20,5.72,6.18,6.68,4.10,3.48,7.59,6.64,8.76,5.65
Total Debt/Equity (X),1.45,1.44,1.40,0.90,0.65,0.59,0.35,0.25,0.30,0.29,0.28,0.35,0.23,0.22,0.64,0.70,0.47,0.34,0.20,0.17
Asset Turnover Ratio (%),60.36,73.80,90.83,105.12,87.88,82.64,84.17,66.58,79.81,73.62,68.15,65.13,61.91,60.82,54.78,57.74,56.60,53.70,0.63,0.73
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.27,1.44,1.35,1.24,0.82,0.88,1.09,1.37,1.49,1.25,1.57,0.90,0.86,1.55,0.96,0.87,1.03,1.17,0.99,0.98
Quick Ratio (X),0.89,0.95,0.69,0.68,0.44,0.43,0.48,0.99,1.04,0.88,1.16,0.59,0.66,1.27,0.68,0.61,0.77,0.98,0.72,0.71
Inventory Turnover Ratio (X),10.15,9.45,8.69,11.32,9.04,9.23,8.57,6.80,8.99,8.59,8.56,8.34,10.41,10.74,9.61,10.56,10.60,11.60,1.45,1.51
Dividend Payout Ratio (NP) (%),16.01,327.36,9.48,6.36,6.17,6.37,6.83,11.70,8.96,9.29,11.50,12.26,12.37,9.92,12.30,14.40,6.97,7.01,15.09,22.22
Dividend Payout Ratio (CP) (%),2.45,4.15,4.88,4.93,4.99,4.78,5.04,7.57,6.54,6.85,7.72,7.84,7.99,6.69,6.87,7.34,4.81,4.82,11.20,14.49
Earnings Retention Ratio (%),83.99,-227.36,90.52,93.64,93.83,93.63,93.17,88.30,91.04,90.71,88.50,87.74,87.63,90.08,87.70,85.60,93.03,92.99,84.91,77.78
Cash Earnings Retention Ratio (%),97.55,95.85,95.12,95.07,95.01,95.22,94.96,92.43,93.46,93.15,92.28,92.16,92.01,93.31,93.13,92.66,95.19,95.18,88.80,85.51
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,5885.72,9904.79,11080.37,11348.16,8896.54,15915.57,33560.93,44920.92,55536.84,64623.67,85187.89,91330.00,112526.34,124778.78,128798.76,111717.74,207510.32,200215.51,227715.01
EV/Net Operating Revenue (X),0.00,2.20,3.00,2.26,2.06,1.39,2.26,2.52,2.45,2.75,3.19,3.71,3.85,4.71,4.19,3.22,2.75,4.80,3.95,3.71
EV/EBITDA (X),0.00,19.98,17.11,7.49,6.24,4.93,7.62,11.89,9.94,11.15,15.58,18.65,17.88,19.99,19.26,17.00,11.91,17.66,17.34,21.44
MarketCap/Net Operating Revenue (X),0.00,1.65,2.58,1.95,1.76,1.07,2.04,2.33,2.26,2.54,2.96,3.44,3.74,4.58,3.64,2.75,2.31,4.50,3.76,3.59
Retention Ratios (%),83.98,-227.36,90.51,93.63,93.82,93.62,93.16,88.29,91.03,90.70,88.49,87.73,87.62,90.07,87.69,85.59,93.02,92.98,84.90,77.77
Price/BV (X),0.00,4.13,8.20,5.44,3.60,1.91,3.12,2.91,3.21,3.36,3.51,4.18,4.09,4.57,4.18,3.94,2.45,4.49,3.87,4.16
Price/Net Operating Revenue,0.00,1.65,2.58,1.95,1.76,1.07,2.04,2.33,2.26,2.54,2.96,3.44,3.74,4.58,3.64,2.75,2.31,4.50,3.76,3.59
Earnings Yield,0.00,0.00,0.03,0.08,0.10,0.14,0.08,0.05,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.06,0.03,0.04,0.02
