,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
PBT Margin (%),8.69,21.97,20.03,22.28,21.80,4.19,14.99,11.89,6.52,7.05,4.31,7.04,-14.27,9.81,10.88,15.16,6.67,17.24,20.80,5.29
Net Profit Margin (%),16.10,12.74,14.05,15.03,15.17,3.27,11.13,8.60,5.06,5.07,2.94,4.70,-9.61,6.84,7.11,10.52,8.23,11.86,14.05,3.74
Return on Networth / Equity (%),43.32,29.62,21.00,24.40,23.39,5.97,21.45,11.86,8.92,9.16,5.67,8.67,-17.29,14.84,16.57,23.27,13.79,17.86,26.30,7.75
Return on Capital Employed (%),9.15,12.28,9.77,12.16,10.63,2.33,8.68,6.96,4.90,4.61,2.79,12.02,7.42,16.00,18.06,21.75,11.13,16.78,25.08,9.70
Return on Assets (%),7.35,9.55,7.43,9.80,8.34,1.61,6.53,4.83,3.21,3.29,1.95,2.89,-4.80,4.41,5.40,7.55,4.33,6.29,10.25,2.85
Total Debt/Equity (X),3.92,1.34,1.00,0.79,1.02,1.47,1.23,0.63,0.68,0.84,1.06,1.03,1.55,1.38,1.14,0.94,1.20,0.87,0.79,0.87
Asset Turnover Ratio (%),45.68,75.00,52.91,65.19,54.99,49.27,58.65,56.22,63.58,64.98,66.19,61.53,49.93,64.58,75.94,71.85,52.65,53.08,0.80,0.78
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.71,0.96,1.00,0.97,0.69,0.53,0.72,0.70,0.81,0.92,0.73,0.93,0.62,0.68,0.76,0.78,0.83,0.80,1.03,1.00
Quick Ratio (X),0.51,0.58,0.66,0.58,0.34,0.29,0.39,0.38,0.51,0.61,0.43,0.51,0.31,0.33,0.36,0.49,0.55,0.51,0.57,0.60
Inventory Turnover Ratio (X),11.40,8.98,6.59,8.50,7.35,6.83,7.03,5.65,6.20,7.40,7.31,5.37,5.44,5.64,6.44,7.14,6.68,6.61,3.24,3.72
Dividend Payout Ratio (NP) (%),0.00,12.13,14.66,15.86,15.15,4.08,8.78,13.59,10.29,12.38,21.55,12.27,-9.06,6.09,14.16,11.18,22.49,5.75,9.40,84.95
Dividend Payout Ratio (CP) (%),0.00,8.12,9.48,10.79,10.84,1.45,5.64,8.06,5.01,5.91,7.08,5.37,-46.89,3.30,8.52,7.86,13.50,3.96,7.40,42.41
Earnings Retention Ratio (%),100.00,87.87,85.34,84.14,84.85,95.92,91.22,86.41,89.71,87.62,78.45,87.73,109.06,93.91,85.84,88.82,77.51,94.25,90.60,15.05
Cash Earnings Retention Ratio (%),100.00,91.88,90.52,89.21,89.16,98.55,94.36,91.94,94.99,94.09,92.92,94.63,146.89,96.70,91.48,92.14,86.50,96.04,92.60,57.59
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),6096.58,10847.01,10875.98,15217.38,27816.47,16893.33,42237.23,35176.22,30129.49,34478.97,56624.98,52209.71,70147.92,88673.60,118113.10,115371.85,78740.45,170380.70,255420.60,243558.05
EV/Net Operating Revenue (X),1.86,1.62,1.79,1.77,2.44,1.21,2.32,1.51,0.94,0.97,1.25,1.13,1.91,1.70,1.82,1.49,1.23,2.41,2.15,1.85
EV/EBITDA (X),6.17,4.77,5.53,5.44,7.65,7.83,9.00,7.02,5.19,5.25,6.21,5.59,10.49,7.52,8.46,6.10,5.99,8.55,7.56,14.38
MarketCap/Net Operating Revenue (X),0.34,1.03,1.08,1.29,1.78,0.41,1.69,1.11,0.64,0.54,0.69,0.60,1.05,1.08,1.34,1.14,0.69,2.00,1.86,1.57
Retention Ratios (%),100.00,87.86,85.33,84.13,84.84,95.91,91.21,86.40,89.70,87.61,78.44,87.72,109.06,93.90,85.83,88.81,77.50,94.24,90.59,15.04
Price/BV (X),0.91,2.39,1.62,2.10,2.75,0.75,3.25,1.54,1.13,0.97,1.33,1.10,1.89,2.34,3.12,2.53,1.15,3.01,3.47,3.25
Price/Net Operating Revenue,0.34,1.03,1.08,1.29,1.78,0.41,1.69,1.11,0.64,0.54,0.69,0.60,1.05,1.08,1.34,1.14,0.69,2.00,1.86,1.57
Earnings Yield,0.48,0.12,0.13,0.12,0.09,0.08,0.07,0.08,0.08,0.09,0.04,0.08,-0.09,0.06,0.05,0.09,0.12,0.06,0.08,0.02
