,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
PBDIT Margin (%),28.49,26.92,23.67,30.48,33.64,25.72,35.74,39.15,34.64,28.97,22.23,15.99,20.71,25.40,22.43,22.57,16.54,16.77,19.71,15.64
PBIT Margin (%),23.26,22.36,19.28,26.80,30.19,21.52,31.48,35.35,31.74,25.94,18.31,11.85,15.73,21.09,18.45,18.87,11.48,10.09,15.33,11.55
PBT Margin (%),20.32,20.14,17.82,25.51,29.15,20.21,30.01,34.36,31.02,29.09,17.57,10.81,13.77,20.53,15.91,6.38,8.03,7.53,13.81,9.85
Net Profit Margin (%),14.90,14.19,12.98,17.76,21.79,15.14,25.39,25.46,23.68,23.32,15.98,8.36,10.61,15.07,11.20,2.50,8.00,7.30,14.62,7.91
Return on Networth / Equity (%),21.61,20.48,17.34,24.66,27.43,17.39,29.31,14.52,12.93,12.11,8.27,4.73,7.70,9.61,3.94,1.22,3.41,2.10,6.27,4.52
Return on Capital Employed (%),12.97,13.23,11.92,16.33,19.83,12.37,26.44,13.28,11.82,10.65,7.25,4.15,6.77,12.60,6.12,8.62,4.39,2.60,5.95,5.85
Return on Assets (%),10.66,10.94,9.74,13.63,15.78,10.25,22.42,11.80,10.66,9.39,6.45,3.68,5.61,7.85,3.29,0.99,2.59,1.65,4.87,3.41
Total Debt/Equity (X),0.57,0.46,0.40,0.47,0.39,0.36,0.15,0.07,0.07,0.12,0.10,0.08,0.13,0.03,0.06,0.07,0.13,0.09,0.08,0.11
Asset Turnover Ratio (%),71.52,77.08,75.05,76.75,72.42,67.70,88.29,46.36,45.03,40.26,40.37,44.07,52.87,52.11,29.38,39.66,32.43,22.64,0.36,0.43
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.17,1.33,1.26,1.27,1.03,1.13,0.82,4.15,3.64,2.32,2.37,2.29,1.44,1.95,1.32,1.52,1.10,1.28,1.28,1.16
Quick Ratio (X),0.81,0.85,0.80,0.83,0.69,0.63,0.53,3.77,3.06,1.81,1.58,1.41,0.88,1.26,0.90,1.09,0.75,0.96,0.84,0.67
Inventory Turnover Ratio (X),11.38,9.19,8.85,10.49,10.47,7.89,19.74,11.00,7.88,6.66,4.62,4.42,5.58,5.97,6.09,7.01,6.05,5.68,4.32,4.14
Dividend Payout Ratio (NP) (%),16.46,16.56,21.24,16.41,12.31,16.68,13.14,15.51,17.53,16.84,21.52,31.84,22.03,0.00,0.00,79.12,35.66,29.02,19.41,30.96
Dividend Payout Ratio (CP) (%),12.19,12.53,15.87,13.59,10.63,13.06,11.25,13.50,15.61,14.90,17.28,21.29,14.99,0.00,0.00,31.96,21.85,15.15,14.93,20.41
Earnings Retention Ratio (%),83.54,83.44,78.76,83.59,87.69,83.32,86.86,84.49,82.47,83.16,78.48,68.16,77.97,0.00,0.00,20.88,64.34,70.98,80.59,69.04
Cash Earnings Retention Ratio (%),87.81,87.47,84.13,86.41,89.37,86.94,88.75,86.50,84.39,85.10,82.72,78.71,85.01,0.00,0.00,68.04,78.15,84.85,85.07,79.59
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),11641.40,13046.71,20689.32,22005.67,26676.67,17736.10,26818.16,23104.75,24733.09,26962.17,27612.43,34154.24,37438.08,49382.99,71831.86,59296.35,36112.60,99433.86,113485.93,112271.82
EV/Net Operating Revenue (X),2.23,2.09,3.11,2.55,2.60,1.63,3.26,4.98,4.98,5.13,4.93,5.39,4.17,4.77,4.55,2.89,2.25,8.03,5.44,4.18
EV/EBITDA (X),7.82,7.76,13.15,8.35,7.74,6.34,9.11,12.72,14.36,17.71,22.16,33.71,20.12,18.79,20.28,12.78,13.57,47.85,27.60,26.74
MarketCap/Net Operating Revenue (X),1.88,1.78,2.84,2.22,2.30,1.33,3.13,4.86,4.85,4.91,4.73,5.25,3.99,4.74,4.39,2.75,1.94,7.71,5.25,4.00
Retention Ratios (%),83.53,83.43,78.75,83.58,87.68,83.31,86.85,84.48,82.46,83.15,78.47,68.15,77.96,0.00,0.00,20.87,64.33,70.97,80.58,69.03
Price/BV (X),2.72,2.57,3.79,3.08,2.90,1.53,3.62,2.77,2.65,2.55,2.45,2.98,2.90,3.02,1.55,1.35,0.83,2.22,2.25,2.29
Price/Net Operating Revenue,1.88,1.78,2.84,2.22,2.30,1.33,3.13,4.86,4.85,4.91,4.73,5.25,3.99,4.74,4.39,2.75,1.94,7.71,5.25,4.00
Earnings Yield,0.08,0.08,0.05,0.08,0.09,0.11,0.08,0.05,0.05,0.05,0.03,0.02,0.03,0.03,0.03,0.01,0.04,0.01,0.03,0.02
