,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Cash Earnings Retention Ratio (%),80.15,78.36,76.93,77.93,78.96,75.38,77.65,77.05,77.79,80.36,81.35,82.66,80.18,83.74,84.15,86.00,66.59,88.33,85.28,85.21
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),5885.68,6196.01,14789.57,18880.06,18356.73,12925.13,31989.79,42731.05,43035.99,52281.07,58684.50,70763.66,71245.22,77347.75,88050.00,78800.35,32697.16,95836.31,99261.45,138967.86
EV/Net Operating Revenue (X),1.19,0.94,1.82,1.90,1.62,0.99,1.73,1.82,1.35,1.29,1.45,1.82,1.74,1.76,1.81,1.47,0.72,2.13,1.73,1.64
EV/EBITDA (X),8.87,6.83,13.32,12.27,11.76,9.19,9.69,10.99,10.16,9.94,10.79,14.09,13.03,13.20,12.13,9.46,4.38,12.40,10.89,10.70
MarketCap/Net Operating Revenue (X),1.09,0.87,1.80,1.87,1.47,0.80,1.67,1.75,1.29,1.26,1.43,1.80,1.75,1.73,1.81,1.49,0.75,2.11,1.68,1.63
Retention Ratios (%),70.04,70.58,71.53,73.58,74.38,66.83,73.67,73.47,73.34,76.19,77.05,77.55,73.57,76.91,78.75,80.56,10.76,-8.74,77.95,78.07
Price/BV (X),3.06,2.89,5.05,5.25,3.83,2.00,3.95,4.08,3.43,3.47,3.45,3.65,3.20,2.85,2.91,2.34,0.99,2.75,2.47,3.20
Price/Net Operating Revenue,1.09,0.87,1.80,1.87,1.47,0.80,1.67,1.75,1.29,1.26,1.43,1.80,1.75,1.73,1.81,1.49,0.75,2.11,1.68,1.63
Earnings Yield,0.06,0.09,0.06,0.06,0.07,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.04,0.05,0.05,0.06,0.04,0.00,0.05,0.05
