,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Net Profit Margin (%),26.11,27.69,26.81,28.73,28.56,28.71,27.45,25.38,27.10,24.79,22.99,25.71,23.51,23.30,26.08,20.11,19.66,21.00,20.43,18.76,21.12
Return on Networth / Equity (%),38.22,36.24,35.10,33.84,33.13,32.66,26.33,26.29,28.46,25.28,24.21,25.30,20.78,20.31,25.44,23.44,24.97,25.23,30.63,34.34,33.54
Return on Capital Employed (%),38.22,36.24,35.10,33.84,33.13,32.60,26.05,26.29,28.46,25.15,24.01,25.29,20.75,27.80,31.00,31.38,31.28,32.23,38.46,43.03,41.23
Return on Assets (%),24.20,28.83,26.56,29.09,25.95,27.50,22.26,22.32,23.64,21.18,19.33,19.67,17.45,17.29,21.29,18.62,19.17,19.21,21.36,22.96,23.69
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),92.67,104.12,99.05,101.25,90.86,95.80,81.10,87.97,87.26,85.44,84.11,76.52,74.22,74.21,81.63,92.62,97.53,91.45,1.08,1.24,1.19
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.65,2.77,2.73,4.91,3.28,4.72,4.46,5.28,4.88,4.82,3.83,3.12,3.98,4.05,3.78,3.00,2.88,2.74,2.10,1.90,2.62
Quick Ratio (X),1.65,2.77,2.73,4.91,3.28,4.72,4.46,5.28,4.88,4.82,3.83,3.12,3.98,4.05,3.78,3.00,2.88,2.74,2.10,1.90,2.62
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),69.35,16.30,51.13,17.17,42.55,23.11,24.71,53.46,31.86,26.45,35.49,42.01,43.88,50.51,46.42,93.64,61.46,50.74,59.80,58.77,54.09
Dividend Payout Ratio (CP) (%),58.49,14.28,43.74,15.28,37.91,20.65,21.69,47.96,29.13,23.94,32.03,39.08,40.33,46.07,42.70,84.46,54.01,44.96,53.66,52.55,48.82
Earnings Retention Ratio (%),30.65,83.70,48.87,82.83,57.45,76.89,75.29,46.54,68.14,73.55,64.51,57.99,56.12,49.49,53.58,6.36,38.54,49.26,40.20,41.23,45.91
Cash Earnings Retention Ratio (%),41.51,85.72,56.26,84.72,62.09,79.35,78.31,52.04,70.87,76.06,67.97,60.92,59.67,53.93,57.30,15.54,45.99,55.04,46.34,47.45,51.18
Valuation Ratios,,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),31269.82,59467.96,78992.46,109613.72,75375.58,66699.52,140309.74,172124.45,146391.13,145479.26,163450.22,226743.68,250465.32,215222.68,230982.96,307794.88,259077.74,565049.50,789898.32,585675.96,613811.00
EV/Net Operating Revenue (X),6.57,8.67,8.75,8.34,4.82,3.29,6.64,6.78,4.68,3.96,3.69,4.79,4.64,3.63,3.73,4.21,3.28,6.58,7.60,4.72,4.76
EV/EBITDA (X),18.38,24.25,25.21,23.81,13.35,9.00,16.85,18.00,12.31,11.00,10.82,13.11,13.38,10.62,10.84,14.30,11.40,20.99,25.44,16.95,15.67
MarketCap/Net Operating Revenue (X),6.91,8.89,9.11,8.76,5.23,3.74,7.10,7.32,5.26,4.51,4.23,5.38,5.18,3.95,4.00,4.42,3.45,6.78,7.72,4.78,4.82
Retention Ratios (%),30.64,83.69,48.86,82.82,57.44,76.88,75.28,46.53,68.13,73.54,64.50,57.98,56.11,49.48,53.57,6.35,38.53,49.25,40.19,41.22,45.90
Price/BV (X),10.11,11.63,11.93,10.31,6.06,4.25,6.81,7.58,5.53,4.60,4.46,5.29,4.58,3.45,3.90,5.16,4.38,8.15,11.57,8.74,7.66
Price/Net Operating Revenue,6.91,8.89,9.11,8.76,5.23,3.74,7.10,7.32,5.26,4.51,4.23,5.38,5.18,3.95,4.00,4.42,3.45,6.78,7.72,4.78,4.82
Earnings Yield,0.04,0.03,0.03,0.03,0.05,0.08,0.04,0.03,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.06,0.03,0.03,0.04,0.04
