,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Total Debt/Equity (X),0.66,0.50,0.48,0.45,0.46,0.65,0.49,0.43,0.36,0.30,0.43,0.41,0.38,0.35,0.31,0.39,0.65,0.41,0.41,0.45
Asset Turnover Ratio (%),71.84,81.42,86.76,94.94,89.11,57.71,76.45,87.16,111.77,113.11,106.13,82.72,50.93,0.48,0.50,47.90,34.67,28.11,0.48,0.60
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.25,1.38,1.13,1.12,1.32,1.30,1.35,1.36,1.92,1.73,1.42,1.27,0.72,0.70,0.65,0.76,0.50,1.04,1.11,1.12
Quick Ratio (X),0.85,1.02,0.66,0.66,0.88,0.95,0.76,0.94,1.40,1.22,0.97,0.87,0.50,0.47,0.44,0.54,0.39,0.86,0.88,0.91
Inventory Turnover Ratio (X),7.17,8.89,7.99,9.20,9.39,9.57,7.12,8.32,9.18,8.43,9.09,9.00,8.32,5.29,5.38,8.42,8.68,6.56,7.70,8.26
Dividend Payout Ratio (NP) (%),14.48,13.92,15.36,12.06,8.36,12.39,12.84,11.75,12.62,12.51,12.70,12.95,11.28,0.00,9.68,10.10,12.46,12.27,10.99,11.49
Dividend Payout Ratio (CP) (%),8.73,9.25,11.17,8.59,6.69,9.25,7.79,7.03,8.05,8.62,9.07,9.43,8.36,0.00,7.53,7.77,9.48,9.53,8.70,9.35
Earnings Retention Ratio (%),85.52,86.08,84.64,87.94,91.64,87.61,87.16,88.25,87.38,87.49,87.30,87.05,88.72,0.00,90.32,89.90,87.54,87.73,89.01,88.51
Cash Earnings Retention Ratio (%),91.27,90.75,88.83,91.41,93.31,90.75,92.21,92.97,91.95,91.38,90.93,90.57,91.64,0.00,92.47,92.23,90.52,90.47,91.30,90.65
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),95829.51,91231.55,130650.61,216630.27,361319.80,291408.04,400482.35,379237.94,263781.58,254803.73,349271.40,344442.92,424125.00,528420.92,653357.80,1017464.40,950998.06,1479239.40,1954716.18,1736200.43
EV/Net Operating Revenue (X),1.85,1.38,1.62,1.94,2.70,2.05,2.08,1.53,0.80,0.71,0.90,1.05,1.82,2.19,2.25,2.74,2.82,6.02,4.61,3.29
EV/EBITDA (X),8.72,6.40,8.72,10.55,14.93,11.31,12.12,9.21,6.63,6.57,8.77,8.54,8.89,10.17,10.90,15.03,14.32,30.61,29.53,22.58
MarketCap/Net Operating Revenue (X),1.45,1.15,1.37,1.71,2.46,1.69,1.83,1.38,0.74,0.69,0.77,0.81,1.45,1.77,1.93,2.33,2.09,5.26,4.21,2.99
Retention Ratios (%),85.51,86.07,84.63,87.93,91.63,87.60,87.15,88.24,87.37,87.48,87.29,87.04,88.71,0.00,90.31,89.89,87.53,87.72,89.00,88.50
Price/BV (X),2.37,2.02,2.46,3.11,4.17,2.09,2.74,2.35,1.50,1.40,1.52,1.23,1.41,1.49,1.78,2.13,1.80,2.72,3.78,3.29
Price/Net Operating Revenue,1.45,1.15,1.37,1.71,2.46,1.69,1.83,1.38,0.74,0.69,0.77,0.81,1.45,1.77,1.93,2.33,2.09,5.26,4.21,2.99
Earnings Yield,0.07,0.10,0.08,0.06,0.06,0.06,0.05,0.06,0.08,0.08,0.07,0.09,0.08,0.07,0.06,0.04,0.04,0.02,0.02,0.03
