,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Dividend Payout Ratio (CP) (%),22.91,22.45,27.80,19.52,25.26,24.70,20.93,18.53,16.69,18.32,17.39,15.85,14.70,0.00,13.76,11.54,13.51,7.08,4.19,17.58
Earnings Retention Ratio (%),61.91,66.01,57.73,74.20,65.40,65.99,71.54,74.27,76.72,75.25,75.82,76.92,77.41,0.00,70.18,77.03,72.64,63.53,93.53,76.48
Cash Earnings Retention Ratio (%),77.09,77.55,72.20,80.48,74.74,75.30,79.07,81.47,83.31,81.68,82.61,84.15,85.30,0.00,86.24,88.46,86.49,92.92,95.81,82.42
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),808.52,1580.40,2610.16,2643.63,3180.55,2833.69,4914.10,6410.84,8962.03,12239.78,13554.82,20264.31,20272.75,18627.10,17386.29,19761.95,18448.97,43300.90,66410.98,63411.77
EV/Net Operating Revenue (X),1.62,2.67,3.69,2.97,2.83,1.94,2.69,2.75,3.20,3.69,3.51,4.41,3.75,2.96,2.42,2.37,1.88,4.73,10.89,9.72
EV/EBITDA (X),8.31,13.71,21.02,17.80,15.98,11.99,15.85,16.23,18.21,20.94,21.30,28.01,25.04,23.29,20.64,19.18,12.94,44.85,45.29,34.59
MarketCap/Net Operating Revenue (X),1.33,2.47,3.62,2.88,2.65,1.69,2.47,2.52,3.07,3.50,3.30,4.14,3.41,2.58,2.06,2.04,1.62,4.56,10.65,9.50
Retention Ratios (%),61.90,66.00,57.72,74.19,65.39,65.98,71.53,74.26,76.71,75.24,75.81,76.91,77.40,0.00,70.17,77.02,72.63,63.52,93.52,76.47
Price/BV (X),2.70,4.47,3.92,3.43,2.44,1.80,2.92,3.32,3.65,4.25,4.30,6.01,5.37,4.54,4.00,4.37,3.97,8.03,10.63,8.95
Price/Net Operating Revenue,1.33,2.47,3.62,2.88,2.65,1.69,2.47,2.52,3.07,3.50,3.30,4.14,3.41,2.58,2.06,2.04,1.62,4.56,10.65,9.50
Earnings Yield,0.05,0.03,0.02,0.04,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.00,0.01,0.02
