,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Return on Assets (%),5.97,8.90,7.62,8.01,8.02,9.33,9.35,6.93,6.58,6.80,7.01,5.81,5.47,5.33,4.65,6.00,4.71,7.66,4.67,4.55
Total Debt/Equity (X),0.48,0.56,0.32,0.36,0.38,0.53,0.37,0.29,0.33,0.27,0.28,0.33,0.30,0.21,0.20,0.24,0.49,0.39,0.30,0.25
Asset Turnover Ratio (%),107.74,119.40,111.81,101.47,92.16,90.78,78.87,76.87,78.61,84.34,72.28,65.60,61.58,64.28,64.40,66.00,58.19,49.55,0.64,0.65
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.33,1.43,1.32,1.19,1.12,1.24,1.20,1.33,1.27,1.41,1.33,1.44,1.40,1.44,1.32,1.30,1.18,1.46,1.39,1.37
Quick Ratio (X),0.98,1.06,1.02,0.89,0.82,0.93,1.13,1.28,1.22,1.35,1.28,1.39,1.36,1.41,1.28,1.25,1.14,1.42,1.36,1.34
Inventory Turnover Ratio (X),5.32,5.71,6.69,5.88,5.79,5.83,26.05,27.84,29.93,29.49,28.55,25.83,31.66,37.28,29.78,24.57,29.74,25.65,4.20,4.01
Dividend Payout Ratio (NP) (%),37.20,36.30,29.99,26.41,22.79,17.66,17.21,22.30,22.67,23.18,24.04,29.87,32.00,0.00,0.00,0.00,21.01,22.29,32.08,39.38
Dividend Payout Ratio (CP) (%),32.13,33.34,27.11,23.69,20.77,16.23,15.72,19.37,19.59,19.87,21.01,24.90,26.93,0.00,0.00,0.00,18.23,20.44,27.93,33.52
Earnings Retention Ratio (%),62.80,63.70,70.01,73.59,77.21,82.34,82.79,77.70,77.33,76.82,75.96,70.13,68.00,0.00,0.00,0.00,78.99,77.71,67.92,60.62
Cash Earnings Retention Ratio (%),67.87,66.66,72.89,76.31,79.23,83.77,84.28,80.63,80.41,80.13,78.99,75.10,73.07,0.00,0.00,0.00,81.77,79.56,72.07,66.48
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),2378.06,13958.04,34294.29,46845.74,91049.56,45177.85,103307.76,105260.16,86520.15,90545.85,125533.25,170573.53,123829.26,153093.25,189149.97,198517.33,135120.58,219259.78,262135.34,317837.06
EV/Net Operating Revenue (X),0.25,1.06,2.32,2.65,3.65,1.33,2.80,2.40,1.63,1.49,2.22,2.99,2.07,2.33,2.54,2.41,1.64,2.99,2.60,2.88
EV/EBITDA (X),2.63,9.76,22.22,20.78,26.31,9.95,15.31,15.51,11.35,10.96,14.69,19.45,14.44,18.23,20.31,19.15,14.01,20.49,20.69,23.84
MarketCap/Net Operating Revenue (X),0.15,0.98,2.26,2.60,3.54,1.16,2.66,2.29,1.51,1.38,2.08,2.80,1.90,2.24,2.47,2.36,1.37,2.72,2.46,2.75
Retention Ratios (%),62.79,63.69,70.00,73.58,77.20,82.33,82.78,77.69,77.32,76.81,75.95,70.12,67.99,0.00,0.00,0.00,78.98,77.70,67.91,60.61
Price/BV (X),0.52,3.87,7.25,7.99,9.28,3.17,5.36,4.61,3.18,2.88,3.51,4.31,2.78,3.21,3.75,3.88,2.17,3.30,3.70,4.25
Price/Net Operating Revenue,0.15,0.98,2.26,2.60,3.54,1.16,2.66,2.29,1.51,1.38,2.08,2.80,1.90,2.24,2.47,2.36,1.37,2.72,2.46,2.75
Earnings Yield,0.37,0.08,0.03,0.03,0.02,0.09,0.04,0.04,0.06,0.06,0.05,0.03,0.05,0.04,0.03,0.04,0.06,0.06,0.03,0.03
