,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit Margin (%),14.75,14.30,15.65,13.50,15.89,16.58,19.83,22.89,21.35,20.74,16.04,14.33,11.50,11.61,18.50,16.51,15.11,14.27,14.06,20.08
Return on Networth / Equity (%),39.82,25.04,17.67,17.85,21.97,26.96,22.76,25.07,20.98,18.91,15.28,13.39,11.60,11.12,18.12,16.19,13.89,11.53,10.44,13.80
Return on Capital Employed (%),3.48,2.85,2.93,2.23,2.75,3.26,4.08,5.93,5.26,4.68,3.80,2.85,2.65,2.50,10.40,16.88,16.67,14.88,14.12,16.17
Return on Assets (%),2.88,2.45,2.27,1.75,2.13,2.44,3.23,3.88,3.51,3.03,2.56,2.08,1.73,1.68,2.53,2.43,2.19,1.91,1.90,2.93
Total Debt/Equity (X),9.89,7.52,5.49,8.19,8.34,8.86,4.81,2.70,2.96,3.22,3.11,3.71,3.31,3.42,6.05,5.55,5.24,4.92,4.42,3.65
Asset Turnover Ratio (%),19.55,17.18,14.53,13.00,13.41,14.76,16.31,16.98,16.46,14.62,16.00,14.55,15.06,14.55,13.67,14.74,14.50,13.43,0.14,0.17
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),5.58,6.96,4.33,4.53,4.41,3.97,4.44,1.53,1.61,1.51,1.63,1.69,0.99,1.04,110.76,2.73,2.58,2.74,2.92,2.62
Quick Ratio (X),3.57,5.94,4.13,4.51,4.41,3.97,4.44,1.53,1.61,1.51,1.63,1.69,0.99,1.04,110.76,2.73,2.58,2.74,2.92,2.62
Inventory Turnover Ratio (X),0.57,1.20,3.31,24.88,3685.50,2911.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),32.68,30.40,34.14,28.53,26.41,16.63,15.57,11.94,11.69,11.68,12.56,18.32,19.25,7.21,10.14,9.73,10.88,12.20,19.92,9.39
Dividend Payout Ratio (CP) (%),27.01,27.63,31.85,26.69,24.11,15.73,15.22,11.83,11.57,11.53,12.27,17.74,18.68,7.02,9.99,9.57,10.30,11.57,18.97,8.63
Earnings Retention Ratio (%),67.32,69.60,65.86,71.47,73.59,83.37,84.43,88.06,88.31,88.32,87.44,81.68,80.75,92.79,89.86,90.27,89.12,87.80,80.08,90.61
Cash Earnings Retention Ratio (%),72.99,72.37,68.15,73.31,75.89,84.27,84.78,88.17,88.43,88.47,87.73,82.26,81.32,92.98,90.01,90.43,89.70,88.43,81.03,91.37
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),883.30,1650.56,6109.58,9121.93,18852.73,17442.07,25745.48,27693.04,25964.51,32667.45,35928.39,54790.72,52879.67,58698.64,111143.33,112826.38,102098.97,125737.19,128848.28,189261.44
EV/Net Operating Revenue (X),3.54,4.78,6.76,6.47,7.69,4.72,5.85,5.15,4.41,4.98,4.56,6.34,5.16,5.42,8.36,7.27,6.17,7.22,6.69,6.36
EV/EBITDA (X),4.95,7.08,9.80,9.38,9.91,6.08,7.30,6.67,5.96,6.66,6.21,8.73,7.69,8.22,11.04,9.96,8.62,10.08,9.60,8.90
MarketCap/Net Operating Revenue (X),0.42,1.04,2.18,1.56,2.78,1.01,2.69,3.35,2.30,2.41,2.20,2.93,2.11,2.26,2.46,1.86,0.91,2.07,1.59,1.58
Retention Ratios (%),67.31,69.59,65.85,71.46,73.58,83.36,84.42,88.05,88.30,88.31,87.43,81.67,80.74,92.78,89.85,90.26,89.11,87.79,80.07,90.60
Price/BV (X),1.12,1.83,2.46,2.06,3.84,1.64,3.08,3.67,2.26,2.19,2.09,2.74,2.13,2.16,2.41,1.82,0.84,1.67,1.18,1.09
Price/Net Operating Revenue,0.42,1.04,2.18,1.56,2.78,1.01,2.69,3.35,2.30,2.41,2.20,2.93,2.11,2.26,2.46,1.86,0.91,2.07,1.59,1.58
Earnings Yield,0.35,0.14,0.07,0.09,0.06,0.16,0.07,0.07,0.09,0.09,0.07,0.05,0.05,0.05,0.08,0.09,0.17,0.07,0.09,0.13
