,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Total Debt/Equity (X),0.17,0.13,0.24,0.04,0.15,0.22,0.00,0.07,0.00,0.11,0.09,0.12,0.09,0.03,0.01,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),86.61,86.17,86.20,80.70,73.31,76.30,66.38,74.94,77.58,71.36,72.58,66.69,79.51,68.99,66.62,67.18,62.03,60.53,0.54,0.60
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),2.02,2.14,2.39,2.99,2.96,1.95,2.34,2.84,4.07,3.02,2.11,1.83,2.19,2.48,2.91,4.00,3.45,3.79,4.41,4.95
Quick Ratio (X),1.22,1.23,1.39,1.96,2.07,1.33,1.69,1.66,2.52,1.98,1.07,0.91,1.20,1.44,1.79,2.79,2.29,2.64,3.23,3.74
Inventory Turnover Ratio (X),3.38,3.02,3.12,3.64,3.75,3.74,3.71,3.36,3.82,3.50,3.74,3.08,4.15,4.06,3.75,4.31,4.19,4.50,0.88,1.08
Dividend Payout Ratio (NP) (%),30.43,25.62,25.58,23.27,22.16,20.01,14.84,23.40,14.28,10.65,11.56,13.59,12.37,16.50,10.95,12.79,24.34,0.00,13.63,16.05
Dividend Payout Ratio (CP) (%),26.77,22.58,22.60,20.15,18.68,16.74,12.87,18.60,11.42,8.87,9.37,9.94,9.49,10.90,8.05,9.82,19.33,0.00,11.80,12.97
Earnings Retention Ratio (%),69.57,74.38,74.42,76.73,77.84,79.99,85.16,76.60,85.72,89.35,88.44,86.41,87.63,83.50,89.05,87.21,75.66,0.00,86.37,83.95
Cash Earnings Retention Ratio (%),73.23,77.42,77.40,79.85,81.32,83.26,87.13,81.40,88.58,91.13,90.63,90.06,90.51,89.10,91.95,90.18,80.67,0.00,88.20,87.03
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),7220.76,7820.35,20273.00,18313.03,17582.42,17968.41,27009.99,26133.60,24409.46,31350.87,31638.57,58403.65,42228.95,47916.41,43683.96,42471.14,33587.37,64871.04,80744.55,71729.50
EV/Net Operating Revenue (X),3.75,3.47,6.80,5.14,4.18,3.43,4.82,4.13,3.50,3.82,3.37,5.76,3.48,4.45,3.84,3.43,2.65,4.67,6.17,4.54
EV/EBITDA (X),15.88,13.55,25.30,19.94,17.93,16.54,19.21,18.50,14.11,13.35,13.94,27.69,18.10,27.76,17.26,13.79,9.33,16.42,20.02,16.88
MarketCap/Net Operating Revenue (X),3.65,3.39,6.66,5.14,4.06,3.26,4.83,4.07,3.50,3.72,3.28,5.64,3.40,4.42,3.84,3.45,2.69,4.73,6.28,4.60
Retention Ratios (%),69.56,74.37,74.41,76.72,77.83,79.98,85.15,76.59,85.71,89.34,88.43,86.40,87.62,83.49,89.04,87.20,75.65,0.00,86.36,83.94
Price/BV (X),5.60,4.95,10.06,5.68,4.56,3.93,4.58,3.90,3.24,3.44,3.06,5.15,3.43,3.72,3.10,2.70,1.96,3.30,3.65,2.95
Price/Net Operating Revenue,3.65,3.39,6.66,5.14,4.06,3.26,4.83,4.07,3.50,3.72,3.28,5.64,3.40,4.42,3.84,3.45,2.69,4.73,6.28,4.60
Earnings Yield,0.04,0.05,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.02,0.04,0.02,0.03,0.04,0.07,0.04,0.04,0.03
