,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Return on Networth / Equity (%),21.37,27.71,26.74,25.26,23.65,20.48,19.21,19.40,22.24,16.81,16.16,12.26,9.73,9.64,10.31,13.16,6.91,5.49,16.99,15.05
Return on Capital Employed (%),15.14,20.56,18.82,17.82,17.64,14.84,14.10,14.68,17.20,13.02,12.26,9.38,7.91,11.59,12.56,16.61,10.96,6.12,14.43,19.12
Return on Assets (%),13.03,13.72,12.62,11.44,13.10,10.58,9.97,12.78,14.62,11.74,11.08,8.52,7.27,7.23,6.84,8.83,4.53,3.53,11.95,10.57
Total Debt/Equity (X),0.28,0.21,0.24,0.24,0.18,0.20,0.19,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.13,0.11,0.07,0.07,0.03,0.03
Asset Turnover Ratio (%),47.61,48.80,41.97,41.65,47.14,42.02,35.85,46.16,44.55,46.59,42.09,39.82,34.94,31.42,29.17,36.26,32.41,21.38,0.34,0.41
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),3.03,1.68,1.71,1.62,1.98,1.77,1.70,1.35,1.42,1.74,1.56,1.57,1.72,1.55,0.44,0.61,0.67,0.86,0.98,1.29
Quick Ratio (X),2.77,1.60,1.62,1.56,1.88,1.67,1.60,1.14,1.22,1.41,1.26,1.26,1.41,1.23,0.30,0.44,0.45,0.63,0.77,1.09
Inventory Turnover Ratio (X),13.16,17.97,15.79,18.76,17.26,15.76,12.88,16.59,14.81,14.55,14.26,13.90,13.78,12.60,12.70,14.14,11.23,8.03,0.40,0.48
Dividend Payout Ratio (NP) (%),39.49,43.93,44.46,42.38,40.98,42.44,42.09,39.55,33.20,38.84,36.78,45.83,30.47,53.17,38.92,35.91,53.80,19.57,28.40,45.35
Dividend Payout Ratio (CP) (%),32.80,38.51,35.09,35.01,33.19,33.41,32.06,21.48,19.88,20.65,19.89,20.46,18.05,31.63,22.55,22.57,22.56,7.98,19.60,29.89
Earnings Retention Ratio (%),60.51,56.07,55.54,57.62,59.02,57.56,57.91,60.45,66.80,61.16,63.22,54.17,69.53,46.83,61.08,64.09,46.20,80.43,71.60,54.65
Cash Earnings Retention Ratio (%),67.20,61.49,64.91,64.99,66.81,66.59,67.94,78.52,80.12,79.35,80.11,79.54,81.95,68.37,77.45,77.43,77.44,92.02,80.40,70.11
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),122508.18,126323.15,190635.32,183654.63,199964.73,163708.51,233131.34,233714.55,213064.48,253328.64,261865.55,261116.29,173773.15,227968.77,252754.94,221808.33,98904.39,143227.65,212351.43,175547.03
EV/Net Operating Revenue (X),3.87,2.74,3.97,3.23,3.33,2.56,3.87,3.42,2.78,3.05,3.12,3.15,2.24,2.93,2.97,2.02,1.03,2.10,1.92,1.21
EV/EBITDA (X),7.99,5.91,7.58,6.78,6.89,5.81,7.75,6.61,5.19,6.50,6.11,6.80,4.43,5.90,5.63,3.81,2.12,4.27,3.45,2.13
MarketCap/Net Operating Revenue (X),3.79,2.73,3.89,3.30,3.49,2.61,3.90,3.63,2.99,3.21,3.25,3.17,2.37,3.06,2.69,1.83,0.89,1.89,1.87,1.31
Retention Ratios (%),60.50,56.06,55.53,57.61,59.01,57.55,57.90,60.44,66.79,61.15,63.21,54.16,69.52,46.82,61.07,64.08,46.19,80.42,71.59,54.64
Price/BV (X),2.96,2.69,3.46,3.03,2.97,2.12,2.69,2.55,2.02,2.14,1.99,1.82,1.11,1.28,1.18,0.99,0.44,0.63,0.87,0.74
Price/Net Operating Revenue,3.79,2.73,3.89,3.30,3.49,2.61,3.90,3.63,2.99,3.21,3.25,3.17,2.37,3.06,2.69,1.83,0.89,1.89,1.87,1.31
Earnings Yield,0.07,0.10,0.08,0.08,0.08,0.10,0.07,0.08,0.11,0.08,0.08,0.07,0.09,0.08,0.09,0.13,0.16,0.09,0.20,0.20
