,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Asset Turnover Ratio (%),60.05,64.73,73.63,80.88,80.01,75.78,79.54,84.37,86.90,87.89,84.72,82.60,74.39,73.94,65.12,64.46,60.63,0.62,0.77,0.84
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.97,1.11,1.39,1.53,1.55,1.71,1.01,1.54,1.59,1.70,1.82,2.05,1.65,3.59,2.77,3.07,4.02,3.13,2.70,2.84
Quick Ratio (X),0.54,0.48,0.66,0.68,0.66,0.75,0.44,0.92,0.97,1.06,1.18,1.38,1.07,2.44,1.95,2.28,3.13,2.20,1.82,1.98
Inventory Turnover Ratio (X),4.18,3.80,3.72,3.67,3.46,3.26,4.08,4.07,4.47,4.53,4.52,4.66,4.32,5.10,5.61,5.93,5.68,1.55,1.65,1.92
Dividend Payout Ratio (NP) (%),31.09,35.28,44.51,43.19,42.27,42.73,94.00,69.04,57.09,55.92,54.31,52.14,69.48,67.05,51.41,50.42,46.56,47.21,42.96,39.71
Dividend Payout Ratio (CP) (%),27.00,30.87,38.75,38.07,37.06,36.58,81.75,61.01,51.28,50.50,49.27,47.39,62.87,60.86,46.65,45.62,42.20,42.16,38.71,36.48
Earnings Retention Ratio (%),68.91,64.72,55.49,56.81,57.73,57.27,6.00,30.96,42.91,44.08,45.69,47.86,30.52,32.95,48.59,49.58,53.44,52.79,57.04,60.29
Cash Earnings Retention Ratio (%),73.00,69.13,61.25,61.93,62.94,63.42,18.25,38.99,48.72,49.50,50.73,52.61,37.13,39.14,53.35,54.38,57.80,57.84,61.29,63.52
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),25880.21,33544.26,72471.53,55884.21,77409.24,68896.07,99457.36,138253.10,174620.56,240696.04,277469.96,253314.55,257453.88,337944.56,309724.29,359951.82,204588.20,264951.38,305195.70,472724.94
EV/Net Operating Revenue (X),4.04,4.41,7.40,4.54,5.52,4.60,5.36,6.44,6.94,8.05,8.35,6.94,6.99,8.43,7.62,8.00,4.48,5.83,5.42,7.16
EV/EBITDA (X),10.03,11.26,20.08,13.08,15.67,12.93,14.93,17.30,18.05,20.81,20.46,16.87,16.05,20.40,17.53,18.19,9.78,14.11,14.18,17.92
MarketCap/Net Operating Revenue (X),4.02,4.39,7.47,4.60,5.54,4.65,5.41,6.54,7.05,8.17,8.45,7.15,7.17,8.50,7.69,8.08,4.63,5.91,5.49,7.22
Retention Ratios (%),68.90,64.71,55.48,56.80,57.72,57.26,5.99,30.95,42.90,44.07,45.68,47.85,30.51,32.94,48.58,49.57,53.43,52.78,57.03,60.28
Price/BV (X),4.06,4.26,8.13,5.45,6.48,5.10,7.17,8.83,9.46,10.98,10.71,8.50,8.03,7.51,6.08,6.28,3.30,4.56,5.03,7.05
Price/Net Operating Revenue,4.02,4.39,7.47,4.60,5.54,4.65,5.41,6.54,7.05,8.17,8.45,7.15,7.17,8.50,7.69,8.08,4.63,5.91,5.49,7.22
Earnings Yield,0.06,0.07,0.03,0.05,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.07,0.05,0.05,0.04
