,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit Margin (%),23.25,18.52,18.27,26.16,34.14,35.56,36.94,33.12,29.59,28.72,31.49,27.46,29.76,26.17,22.78,27.31,25.84,28.75,33.20,23.71
Return on Networth / Equity (%),31.78,23.27,20.67,35.37,40.45,33.63,22.32,23.82,25.10,23.94,26.09,23.78,25.46,19.47,14.59,19.11,18.76,21.08,25.21,14.23
Return on Capital Employed (%),28.20,21.16,16.40,28.87,35.93,31.16,21.20,22.92,24.23,23.12,25.04,22.87,24.55,25.03,19.79,25.48,23.90,27.28,30.29,17.73
Return on Assets (%),18.96,14.53,10.84,22.50,29.54,26.95,18.22,18.87,19.47,19.13,20.92,18.92,22.03,16.96,12.77,16.57,16.12,18.22,22.15,12.59
Total Debt/Equity (X),0.29,0.23,0.44,0.28,0.10,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),81.52,78.45,59.31,86.00,86.51,75.78,49.33,56.96,65.82,66.61,66.43,68.91,74.01,64.79,56.05,60.69,62.37,63.39,0.74,0.55
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.68,1.91,1.61,2.29,2.72,3.72,3.13,3.76,3.18,3.40,3.68,3.62,6.04,6.16,7.11,5.58,5.16,5.63,7.10,8.56
Quick Ratio (X),0.83,0.93,0.77,1.18,1.43,1.86,1.33,2.43,2.00,1.94,2.25,2.18,3.79,4.24,5.11,3.58,3.23,3.75,4.84,5.99
Inventory Turnover Ratio (X),2.91,2.56,2.10,3.49,3.76,3.01,1.94,2.42,2.83,2.64,2.81,2.77,3.20,3.20,2.98,2.93,3.04,3.33,1.47,1.10
Dividend Payout Ratio (NP) (%),14.07,15.53,18.18,6.73,7.30,9.16,23.03,30.44,31.60,32.56,33.53,31.34,23.96,0.00,30.52,19.92,61.88,0.00,18.00,44.04
Dividend Payout Ratio (CP) (%),11.91,12.64,15.03,6.03,6.63,8.23,20.03,27.12,28.38,28.92,30.03,27.00,21.65,0.00,26.23,17.68,54.50,0.00,16.29,37.03
Earnings Retention Ratio (%),85.93,84.47,81.82,93.27,92.70,90.84,76.97,69.56,68.40,67.44,66.47,68.66,76.04,0.00,69.48,80.08,38.12,0.00,82.00,55.96
Cash Earnings Retention Ratio (%),88.09,87.36,84.97,93.97,93.37,91.77,79.97,72.88,71.62,71.08,69.97,73.00,78.35,0.00,73.77,82.32,45.50,0.00,83.71,62.97
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),1915.84,1337.96,2539.31,4111.57,8265.75,6215.09,8993.22,8967.84,10207.03,13055.02,18153.46,23730.92,26134.20,16537.33,28892.41,45211.84,52685.78,94218.02,114096.52,70821.97
EV/Net Operating Revenue (X),6.12,3.75,6.59,5.61,7.98,5.21,9.65,6.82,5.53,6.13,7.22,7.69,7.02,4.11,7.57,9.27,9.92,13.86,12.85,9.29
EV/EBITDA (X),16.35,11.10,20.14,15.94,19.29,12.18,20.39,16.80,13.42,15.00,16.46,19.70,17.51,10.92,21.20,22.54,26.27,32.68,28.61,26.26
MarketCap/Net Operating Revenue (X),5.93,3.58,6.22,5.42,7.91,5.17,9.63,6.82,5.52,6.13,7.23,7.70,7.03,4.12,7.58,9.27,9.93,14.17,13.16,9.84
Retention Ratios (%),85.92,84.46,81.81,93.26,92.69,90.83,76.96,69.55,68.39,67.43,66.46,68.65,76.03,0.00,69.47,80.07,38.11,0.00,81.99,55.95
Price/BV (X),8.10,4.50,7.04,7.33,9.37,4.89,5.82,4.90,4.68,5.11,5.99,6.67,6.01,3.06,4.85,6.48,7.21,10.39,10.00,5.90
Price/Net Operating Revenue,5.93,3.58,6.22,5.42,7.91,5.17,9.63,6.82,5.52,6.13,7.23,7.70,7.03,4.12,7.58,9.27,9.93,14.17,13.16,9.84
Earnings Yield,0.04,0.05,0.03,0.05,0.04,0.07,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.06,0.03,0.03,0.03,0.02,0.03,0.02
