,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit/Share (Rs.),26.56,16.83,24.84,32.52,48.96,61.65,43.39,13.36,16.39,4.99,-13.66,-7.12,-4.46,-0.10,1.27,3.40,13.38,8.92,-0.42,7.05
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),37.58,34.79,41.85,41.83,47.00,48.90,55.14,48.87,52.34,30.80,6.88,-4.32,-0.04,8.18,23.38,29.38,33.69,24.10,24.80,32.44
PBIT Margin (%),34.79,31.53,38.70,39.05,44.63,46.78,51.38,46.80,50.45,27.27,3.28,-12.56,-6.13,2.69,17.97,24.01,29.21,19.52,16.13,24.75
PBT Margin (%),34.79,31.53,37.83,38.52,44.42,46.68,51.35,46.78,42.97,27.26,-99.02,-19.44,-14.02,-0.21,3.11,6.98,25.95,16.81,1.96,8.36
Net Profit Margin (%),29.19,31.00,35.71,37.82,42.81,46.02,48.70,44.52,42.27,21.23,-99.99,-18.38,-14.09,-0.29,3.39,7.92,25.62,16.71,-0.64,8.12
Return on Networth / Equity (%),29.19,28.28,31.51,25.68,24.10,24.78,15.71,20.71,21.54,6.63,-38.18,-6.48,-4.99,-0.10,1.36,3.57,13.16,8.54,-0.40,7.11
Return on Capital Employed (%),21.71,10.53,13.97,17.41,23.01,24.20,15.37,20.29,20.92,6.38,-27.91,-5.58,-4.23,0.90,6.68,10.12,13.45,8.15,8.20,15.79
Return on Assets (%),17.15,9.67,12.79,16.24,18.71,20.55,13.87,18.19,18.58,5.58,-20.44,-3.93,-3.13,-0.06,0.83,2.16,8.36,5.48,-0.24,4.12
Total Debt/Equity (X),0.37,1.64,1.19,0.44,0.02,0.00,0.01,0.01,0.01,0.01,0.33,0.24,0.26,0.23,0.30,0.26,0.24,0.26,0.20,0.32
Asset Turnover Ratio (%),58.75,31.18,35.81,42.95,43.71,44.65,28.48,40.85,43.97,26.30,20.44,21.41,22.27,22.68,24.47,27.31,32.62,32.82,0.39,0.51
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.59,6.60,7.35,8.43,2.87,2.92,2.65,5.97,3.90,3.37,1.40,0.49,0.60,0.58,0.76,0.84,1.07,1.45,0.96,1.97
Quick Ratio (X),1.06,5.89,6.50,7.14,2.49,2.40,1.75,5.18,3.27,2.61,1.15,0.30,0.36,0.37,0.59,0.63,0.83,1.07,0.62,1.49
Inventory Turnover Ratio (X),5.23,5.40,4.90,4.99,6.08,5.70,3.24,5.03,6.27,2.80,3.08,3.66,3.57,3.33,4.22,3.69,4.76,4.04,1.40,1.40
Dividend Payout Ratio (NP) (%),24.46,22.27,22.17,20.67,21.44,22.30,31.69,26.19,25.92,100.24,-10.98,-48.97,-22.42,-1053.76,261.00,58.67,42.94,72.86,-2159.12,149.00
Dividend Payout Ratio (CP) (%),22.33,20.01,20.37,19.25,20.32,21.31,29.41,25.03,24.82,85.95,-11.39,-88.75,-39.49,60.25,100.61,34.98,36.55,57.18,172.71,76.53
Earnings Retention Ratio (%),75.54,77.73,77.83,79.33,78.56,77.70,68.31,73.81,74.08,-0.24,110.98,148.97,122.42,1153.76,-161.00,41.33,57.06,27.14,2259.12,-49.00
Cash Earnings Retention Ratio (%),77.67,79.99,79.63,80.75,79.68,78.69,70.59,74.97,75.18,14.05,111.39,188.75,139.49,39.75,-0.61,65.02,63.45,42.82,-72.71,23.47
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),6280.42,9671.43,16608.91,20251.20,24534.86,21797.12,36908.42,44552.43,57690.01,84360.34,121019.78,216735.09,202702.44,169644.26,125484.55,120496.23,89593.53,149635.45,223821.71,243046.57
EV/Net Operating Revenue (X),7.44,9.60,12.86,12.18,10.36,7.86,20.00,14.34,14.37,34.69,42.78,27.03,26.62,22.08,13.93,11.70,7.15,11.69,14.36,11.68
EV/EBITDA (X),19.80,27.60,30.72,29.11,22.04,16.06,36.27,29.33,27.45,112.59,621.16,-624.52,-64146.34,269.68,59.58,39.80,21.22,48.49,57.90,36.00
MarketCap/Net Operating Revenue (X),7.14,8.68,12.46,12.26,10.77,8.30,20.09,14.72,14.69,34.85,41.98,26.41,25.90,21.47,13.20,11.16,6.74,11.20,14.08,11.33
Retention Ratios (%),75.53,77.72,77.82,79.32,78.55,77.69,68.30,73.80,74.07,-0.24,110.98,148.97,122.42,1153.76,-161.00,41.32,57.05,27.13,2259.12,-49.00
Price/BV (X),7.14,7.92,11.00,8.33,6.06,4.47,6.48,6.85,7.49,10.88,16.03,9.31,9.18,7.85,5.32,5.03,3.46,5.73,8.93,9.93
Price/Net Operating Revenue,7.14,8.68,12.46,12.26,10.77,8.30,20.09,14.72,14.69,34.85,41.98,26.41,25.90,21.47,13.20,11.16,6.74,11.20,14.08,11.33
Earnings Yield,0.04,0.04,0.03,0.03,0.04,0.06,0.02,0.03,0.03,0.01,-0.02,-0.01,-0.01,0.00,0.00,0.01,0.04,0.01,0.00,0.01
