,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Earnings Retention Ratio (%),100.00,0.00,0.00,0.00,0.00,95.10,95.98,95.08,93.38,92.55,89.10,88.35,88.60,104.02,-1161.74,206.93,0.00,104.33,0.00,2067.63
Cash Earnings Retention Ratio (%),100.00,0.00,0.00,0.00,0.00,96.59,97.20,96.92,96.74,96.82,94.80,92.59,94.89,82.46,92.39,84.92,0.00,134.09,0.00,93.29
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),29288.54,42947.05,82677.67,149228.04,162853.53,124253.89,122667.14,145864.10,141532.38,123431.07,135553.79,177321.49,182379.07,196605.51,221447.29,216590.65,319339.34,377472.36,525348.20,564120.68
EV/Net Operating Revenue (X),465.08,5.27,7.34,8.36,6.32,3.65,3.44,3.84,3.40,2.72,2.72,3.20,3.02,3.16,4.13,4.37,5.88,5.87,7.44,6.66
EV/EBITDA (X),1152.77,15.13,21.21,20.87,15.78,10.77,8.37,10.68,9.92,8.27,7.90,7.20,8.11,8.23,12.28,14.52,14.27,12.43,14.39,12.15
MarketCap/Net Operating Revenue (X),455.13,4.71,6.94,8.11,6.09,3.49,3.33,3.57,3.07,2.44,2.55,2.84,2.33,2.25,2.97,2.68,4.43,4.42,5.98,5.02
Retention Ratios (%),100.00,0.00,0.00,0.00,0.00,95.09,95.97,95.07,93.37,92.54,89.09,88.34,88.59,104.02,-1161.74,206.93,0.00,104.33,0.00,2067.63
Price/BV (X),5.94,8.47,10.67,12.68,7.77,4.32,3.24,3.08,2.59,2.05,1.91,2.01,1.26,1.38,1.55,1.35,2.38,3.67,5.35,5.40
Price/Net Operating Revenue,456.19,4.71,6.94,8.11,6.09,3.49,3.33,3.57,3.07,2.44,2.55,2.84,2.33,2.25,2.97,2.68,4.43,4.42,5.98,5.02
Earnings Yield,0.00,-0.01,0.03,0.03,0.04,0.07,0.08,0.06,0.04,0.05,0.05,0.08,0.06,-0.07,0.00,-0.01,-0.15,-0.09,-0.01,0.00
