,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Return on Assets (%),7.97,8.90,9.34,9.96,7.75,2.64,4.38,3.34,2.27,0.57,0.67,-9.48,-0.10,-4.12,-1.74,3.31,-11.64,-3.68,-2.17,4.41
Total Debt/Equity (X),0.35,0.61,0.53,0.59,0.80,1.06,1.12,0.73,0.56,0.75,0.76,1.35,0.61,0.89,0.81,0.79,1.14,1.14,1.17,0.84
Asset Turnover Ratio (%),128.19,123.95,122.77,138.87,110.01,66.81,69.22,86.89,99.60,85.78,68.94,72.67,75.59,75.26,99.35,113.61,70.18,0.47,0.73,1.05
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.78,1.07,1.25,1.10,0.80,0.54,0.52,0.58,0.62,0.48,0.36,0.42,0.63,0.59,0.62,0.58,0.53,0.60,0.58,0.45
Quick Ratio (X),0.54,0.83,0.99,0.83,0.61,0.42,0.39,0.37,0.41,0.27,0.15,0.19,0.36,0.33,0.38,0.37,0.38,0.43,0.44,0.33
Inventory Turnover Ratio (X),11.35,10.74,9.98,10.66,11.88,11.51,12.05,12.10,11.84,10.05,8.88,7.56,8.37,7.98,10.38,14.84,11.46,4.54,7.66,12.52
Dividend Payout Ratio (NP) (%),34.81,36.60,32.56,30.21,28.50,30.65,38.34,70.32,103.09,213.77,193.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (CP) (%),22.66,25.79,23.44,22.36,21.06,16.04,25.13,40.16,44.95,30.44,26.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Earnings Retention Ratio (%),65.19,63.40,67.44,69.79,71.50,69.35,61.66,29.68,-3.09,-113.77,-93.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Earnings Retention Ratio (%),77.34,74.21,76.56,77.64,78.94,83.96,74.87,59.84,55.05,69.56,73.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),17634.49,15466.68,37523.87,31230.59,27919.70,21292.06,57992.89,91763.59,96670.96,99721.96,142514.26,196159.63,144649.88,176759.28,126665.65,75419.87,42927.34,133009.65,186631.71,178551.80
EV/Net Operating Revenue (X),1.35,0.90,1.87,1.17,0.97,0.83,1.64,1.95,1.78,2.23,4.16,5.40,3.38,3.99,2.15,1.09,0.98,4.41,3.95,2.72
EV/EBITDA (X),9.38,6.67,13.08,8.80,7.64,8.31,11.35,18.03,20.34,26.27,48.77,304.63,33.26,68.21,26.03,10.06,58.65,70.96,86.45,33.36
MarketCap/Net Operating Revenue (X),1.32,0.87,1.78,1.05,0.84,0.36,1.22,1.69,1.61,1.92,3.74,4.88,3.06,3.57,1.89,0.86,0.58,3.83,3.51,2.45
Retention Ratios (%),65.18,63.39,67.43,69.78,71.49,69.34,61.65,29.67,-3.09,-113.77,-93.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Price/BV (X),4.78,3.64,6.48,4.10,3.08,0.75,2.92,3.98,4.46,4.50,6.69,11.93,5.64,7.48,5.51,2.67,1.39,6.07,8.33,7.17
Price/Net Operating Revenue,1.32,0.87,1.78,1.05,0.84,0.36,1.22,1.69,1.61,1.92,3.74,4.88,3.06,3.57,1.89,0.86,0.58,3.83,3.51,2.45
Earnings Yield,0.05,0.08,0.04,0.07,0.08,0.11,0.05,0.02,0.01,0.00,0.00,-0.03,0.00,-0.02,-0.01,0.03,-0.29,-0.02,-0.01,0.02
