,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Inventory Turnover Ratio (X),8.57,7.74,6.96,7.48,7.54,7.00,8.10,7.44,6.98,7.27,6.94,5.20,5.39,4.69,5.41,6.27,5.64,1.76,2.15,2.65
Dividend Payout Ratio (NP) (%),21.13,20.71,20.52,22.35,24.93,22.47,14.06,16.76,17.40,15.34,15.14,12.06,15.85,30.28,29.67,10.87,22.08,6.70,9.10,40.22
Dividend Payout Ratio (CP) (%),15.56,17.57,16.80,18.72,21.16,18.92,11.57,14.36,14.85,11.59,11.64,9.20,11.36,14.93,15.66,7.99,13.96,5.08,7.81,29.78
Earnings Retention Ratio (%),78.87,79.29,79.48,77.65,75.07,77.53,85.94,83.24,82.60,84.66,84.86,87.94,84.15,69.72,70.33,89.13,77.92,93.30,90.90,59.78
Cash Earnings Retention Ratio (%),84.44,82.43,83.20,81.28,78.84,81.08,88.43,85.64,85.15,88.41,88.36,90.80,88.64,85.07,84.34,92.01,86.04,94.92,92.19,70.22
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),17280.59,24689.61,31926.62,28070.90,73683.19,45882.51,78147.05,80040.79,63166.96,51755.53,61149.60,54235.79,58740.67,73848.83,85974.08,85636.83,68929.22,127468.13,189190.05,164842.48
EV/Net Operating Revenue (X),1.62,1.70,2.11,1.61,3.75,1.88,3.13,2.72,1.86,1.35,1.47,1.30,1.54,1.54,1.44,1.21,1.14,1.52,1.47,1.28
EV/EBITDA (X),4.96,4.07,5.20,3.86,8.20,4.69,7.70,6.66,5.08,4.30,4.49,5.12,5.29,6.01,5.20,3.73,4.52,4.57,3.60,5.31
MarketCap/Net Operating Revenue (X),1.32,1.53,1.96,1.50,2.58,0.62,2.25,2.03,1.35,0.79,0.92,0.74,0.81,0.98,1.10,0.85,0.51,1.16,1.24,0.99
Retention Ratios (%),78.86,79.28,79.47,77.64,75.06,77.52,85.93,83.23,82.59,84.65,84.85,87.93,84.14,69.71,70.32,89.12,77.91,93.29,90.89,59.77
Price/BV (X),3.14,3.14,3.04,1.87,2.32,0.62,1.51,1.27,0.87,0.55,0.63,0.46,0.44,0.94,1.06,0.85,0.41,1.03,1.27,0.95
Price/Net Operating Revenue,1.32,1.53,1.96,1.50,2.58,0.62,2.25,2.03,1.35,0.79,0.92,0.74,0.81,0.98,1.10,0.85,0.51,1.16,1.24,0.99
Earnings Yield,0.12,0.16,0.12,0.16,0.09,0.35,0.09,0.12,0.15,0.17,0.17,0.21,0.16,0.07,0.06,0.18,0.22,0.18,0.21,0.12
