,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Net Profit Margin (%),17.04,4.22,10.53,30.89,14.16,14.02,19.24,16.84,13.53,15.00,19.86,16.77,13.26,14.24,6.05,12.02,24.78,16.37,11.26,15.40
Return on Networth / Equity (%),13.83,3.15,9.33,26.72,9.84,10.66,14.30,14.84,13.58,16.25,20.71,15.79,11.67,11.93,4.80,10.07,19.33,12.87,8.85,12.76
Return on Capital Employed (%),13.33,3.03,9.01,26.22,9.61,10.42,14.05,13.41,12.53,15.98,18.59,14.25,10.61,13.14,6.13,13.34,18.46,18.17,12.25,18.54
Return on Assets (%),11.24,2.19,5.29,19.61,7.11,7.62,10.11,9.64,8.82,10.55,13.32,10.20,7.71,8.41,3.31,7.86,15.08,10.10,6.62,10.29
Total Debt/Equity (X),0.03,0.13,0.41,0.08,0.10,0.12,0.10,0.24,0.23,0.20,0.29,0.29,0.27,0.20,0.22,0.07,0.07,0.07,0.12,0.00
Asset Turnover Ratio (%),65.94,51.93,50.27,63.49,50.19,54.35,52.57,57.26,65.17,70.34,67.05,60.83,58.13,59.09,54.73,65.39,60.84,0.65,0.62,0.68
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),3.34,2.37,1.45,2.67,1.92,1.95,1.55,1.40,1.61,1.63,2.17,2.22,2.10,2.02,1.91,2.90,2.42,2.40,2.23,3.11
Quick Ratio (X),2.68,2.00,1.18,2.35,1.55,1.57,1.16,0.99,1.17,1.25,1.78,1.86,1.75,1.59,1.52,2.25,1.89,1.78,1.68,2.42
Inventory Turnover Ratio (X),6.44,5.10,4.52,7.76,5.22,5.44,4.90,4.99,5.08,5.53,6.11,5.81,6.01,5.37,5.04,5.27,5.41,1.30,1.10,0.99
Dividend Payout Ratio (NP) (%),13.50,58.44,18.16,5.38,13.31,18.77,22.45,21.31,25.54,20.13,15.84,20.29,25.13,24.22,70.41,25.99,13.32,18.96,25.54,19.05
Dividend Payout Ratio (CP) (%),10.77,23.45,11.42,4.76,9.60,13.60,17.46,16.68,19.20,16.14,13.23,15.70,16.99,15.82,29.76,16.13,10.50,13.72,17.00,14.08
Earnings Retention Ratio (%),86.50,41.56,81.84,94.62,86.69,81.23,77.55,78.69,74.46,79.87,84.16,79.71,74.87,75.78,29.59,74.01,86.68,81.04,74.46,80.95
Cash Earnings Retention Ratio (%),89.23,76.55,88.58,95.24,90.40,86.40,82.54,83.32,80.80,83.86,86.77,84.30,83.01,84.18,70.24,83.87,89.50,86.28,83.00,85.92
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),7102.71,5037.03,11165.86,11088.80,9863.15,8484.77,21747.58,29102.17,30511.10,30661.77,45584.22,61649.55,53591.39,45935.25,37036.77,46829.39,52829.90,74673.98,71782.46,76348.99
EV/Net Operating Revenue (X),4.28,3.25,5.57,2.93,2.95,2.12,4.95,5.49,4.53,3.64,4.69,6.16,5.25,4.73,3.96,4.41,4.46,5.59,4.98,4.50
EV/EBITDA (X),18.91,35.83,28.44,7.24,13.11,9.05,16.58,22.30,18.79,14.41,15.65,23.59,20.23,19.66,24.15,18.45,14.62,18.96,23.34,15.89
MarketCap/Net Operating Revenue (X),4.49,3.65,5.44,3.23,2.97,2.06,4.90,5.23,4.43,3.56,4.48,5.94,5.07,4.49,3.69,4.33,4.37,5.63,4.97,4.54
Retention Ratios (%),86.49,41.55,81.83,94.61,86.68,81.22,77.54,78.68,74.45,79.86,84.15,79.70,74.86,75.77,29.58,74.00,86.67,81.03,74.45,80.94
Price/BV (X),3.64,2.73,4.82,2.79,2.07,1.56,3.64,4.61,4.44,3.85,4.67,5.59,4.46,3.76,2.93,3.63,3.41,4.42,3.91,3.76
Price/Net Operating Revenue,4.49,3.65,5.44,3.23,2.97,2.06,4.90,5.23,4.43,3.56,4.48,5.94,5.07,4.49,3.69,4.33,4.37,5.63,4.97,4.54
Earnings Yield,0.04,0.01,0.02,0.10,0.05,0.07,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.06,0.03,0.02,0.03
